"COUNTRY.ID","INDICATOR.ID","FREQUENCY.ID","TIME_PERIOD","OBS_VALUE","SCALE.ID"
"BEN","GPB_S13_POGDP_PT","A","2000","-3.12969070774877","0"
"BEN","GPB_S13_POGDP_PT","A","2001","-2.70179334240104","0"
"BEN","GPB_S13_POGDP_PT","A","2002","-2.79631355780699","0"
"BEN","GPB_S13_POGDP_PT","A","2003","-0.675524666070708","0"
"BEN","GPB_S13_POGDP_PT","A","2004","-0.21890794508233","0"
"BEN","GPB_S13_POGDP_PT","A","2005","-1.32367830776357","0"
"BEN","GPB_S13_POGDP_PT","A","2006","0.000327874741907612","0"
"BEN","GPB_S13_POGDP_PT","A","2007","1.3004542047589","0"
"BEN","GPB_S13_POGDP_PT","A","2008","0.196133791273104","0"
"BEN","GPB_S13_POGDP_PT","A","2009","-1.90040398490755","0"
"BEN","GPB_S13_POGDP_PT","A","2010","0.0996177702446657","0"
"BEN","GPB_S13_POGDP_PT","A","2011","-0.685627884662809","0"
"BEN","GPB_S13_POGDP_PT","A","2012","0.1912906839952","0"
"BEN","GPB_S13_POGDP_PT","A","2013","-1.04390663195512","0"
"BEN","GPB_S13_POGDP_PT","A","2014","-1.37117240028922","0"
"BEN","GPB_S13_POGDP_PT","A","2015","-5.01384714305192","0"
"BEN","GPB_S13_POGDP_PT","A","2016","-3.38441851983447","0"
"BEN","GPB_S13_POGDP_PT","A","2017","-2.74596377124375","0"
"BEN","GPB_S13_POGDP_PT","A","2018","-1.37675242163207","0"
"BEN","GPB_S13_POGDP_PT","A","2019","1.03504407495044","0"
"BEN","GPB_S13_POGDP_PT","A","2020","-2.7249870351409","0"
"BEN","GPB_S13_POGDP_PT","A","2021","-3.46743060906566","0"
"BEN","GPB_S13_POGDP_PT","A","2022","-3.90866278927864","0"
"BEN","GPB_S13_POGDP_PT","A","2023","-2.53561554048507","0"
"BEN","GPB_S13_POGDP_PT","A","2024","-1.281446547431","0"
"BEN","GPB_S13_POGDP_PT","A","2025","-1.01653550795268","0"
"BEN","GPB_S13_POGDP_PT","A","2026","-1.3341352635065","0"
"BEN","GPB_S13_POGDP_PT","A","2027","-1.35975068297558","0"
"BEN","GPB_S13_POGDP_PT","A","2028","-1.47925469127694","0"
"BEN","GPB_S13_POGDP_PT","A","2029","-1.46415077066861","0"
"BEN","GPB_S13_POGDP_PT","A","2030","-1.46554882657493","0"
"AUT","GPB_S13_POGDP_PT","A","1991","-1.03481043767357","0"
"AUT","GPB_S13_POGDP_PT","A","1992","-0.172115016671772","0"
"AUT","GPB_S13_POGDP_PT","A","1993","-2.03001818171447","0"
"AUT","GPB_S13_POGDP_PT","A","1994","-2.54828707186231","0"
"AUT","GPB_S13_POGDP_PT","A","1995","-2.92415592830091","0"
"AUT","GPB_S13_POGDP_PT","A","1996","-1.05063899849016","0"
"AUT","GPB_S13_POGDP_PT","A","1997","0.652283778724637","0"
"AUT","GPB_S13_POGDP_PT","A","1998","0.190628991174479","0"
"AUT","GPB_S13_POGDP_PT","A","1999","0.220993278014429","0"
"AUT","GPB_S13_POGDP_PT","A","2000","0.6700632936422","0"
"AUT","GPB_S13_POGDP_PT","A","2001","1.97526317013055","0"
"AUT","GPB_S13_POGDP_PT","A","2002","1.1870473712714","0"
"AUT","GPB_S13_POGDP_PT","A","2003","0.583451677743472","0"
"AUT","GPB_S13_POGDP_PT","A","2004","-2.64257714982475","0"
"AUT","GPB_S13_POGDP_PT","A","2005","-0.180261932594956","0"
"AUT","GPB_S13_POGDP_PT","A","2006","-0.258899213939119","0"
"AUT","GPB_S13_POGDP_PT","A","2007","0.671210120754819","0"
"AUT","GPB_S13_POGDP_PT","A","2008","0.652569743926767","0"
"AUT","GPB_S13_POGDP_PT","A","2009","-3.06363726233005","0"
"AUT","GPB_S13_POGDP_PT","A","2010","-2.21244234835773","0"
"AUT","GPB_S13_POGDP_PT","A","2011","-0.290102350315786","0"
"AUT","GPB_S13_POGDP_PT","A","2012","0.0682903470552078","0"
"AUT","GPB_S13_POGDP_PT","A","2013","0.180546383981902","0"
"AUT","GPB_S13_POGDP_PT","A","2014","0.107811436918344","0"
"AUT","GPB_S13_POGDP_PT","A","2015","1.38667898334763","0"
"AUT","GPB_S13_POGDP_PT","A","2016","0.231846928168783","0"
"AUT","GPB_S13_POGDP_PT","A","2017","0.723015756548757","0"
"AUT","GPB_S13_POGDP_PT","A","2018","1.51252158601711","0"
"AUT","GPB_S13_POGDP_PT","A","2019","1.71146919891192","0"
"AUT","GPB_S13_POGDP_PT","A","2020","-7.08239081042465","0"
"AUT","GPB_S13_POGDP_PT","A","2021","-4.79437740149043","0"
"AUT","GPB_S13_POGDP_PT","A","2022","-2.55136410693216","0"
"AUT","GPB_S13_POGDP_PT","A","2023","-1.84347124888109","0"
