feature,short,PC1,PC2,PC1_var,PC2_var
Total_Production_Value_Per_Capita,Production Value,0.43201331933699977,0.3167796357076701,0.27249596138380944,0.2313126449123493
Total natural resources rents (% of GDP),Total natural resources rents (% of GDP),0.5283841744340902,-0.2585090107222301,0.27249596138380944,0.2313126449123493
Oil rents (% of GDP),Oil rents (% of GDP),0.5528093521713723,-0.051490864196476464,0.27249596138380944,0.2313126449123493
Natural gas rents (% of GDP),Natural gas rents (% of GDP),0.21639845987177125,0.17288226765696052,0.27249596138380944,0.2313126449123493
Mineral rents (% of GDP),Mineral rents (% of GDP),-0.12177943499146995,-0.09365381720233122,0.27249596138380944,0.2313126449123493
Forestry rents (% of GDP),Forestry rents (% GDP),0.05073981621264544,-0.41520462403152725,0.27249596138380944,0.2313126449123493
"GDP per capita (constant prices, PPP)","GDP per capita (constant prices, PPP)",0.1485983483956989,0.47437540317273647,0.27249596138380944,0.2313126449123493
Trade (% of GDP),Trade,0.21956896926059594,0.25283654121297733,0.27249596138380944,0.2313126449123493
Manufacturing,Manufacturing,-0.3023906983158011,0.33648885162692016,0.27249596138380944,0.2313126449123493
Services,Services,-0.05110075604022738,0.4657629890187136,0.27249596138380944,0.2313126449123493
