feature,short,coef,ci_lo,ci_hi,se
log_HCI,Human Capital,0.19900406580172325,0.0009715485012574687,0.39703658310218903,0.10103699862268663
log_GFCF,Capital Formation,0.028169428292339007,0.010374029010845658,0.045964827573832356,0.009079285347700689
Political stability — estimate,Political Stability,0.007266663282293348,-0.022444183977509476,0.03697751054209617,0.015158595540715726
Rule of law index,Rule of Law,0.04263245875705967,-0.03113666716376274,0.11640158467788209,0.03763730914327674
log_Production_Value,Production Value,-0.008774897716928513,-0.01890688899938237,0.001357093565525342,0.005169383307374416
Forestry rents (% of GDP),Forestry rents (% GDP),-0.007934308226648487,-0.018585579861615204,0.0027169634083182292,0.005434322262738121
Trade (% of GDP),Trade,-6.102174728471753e-06,-0.0007691279278874248,0.0007569235784304813,0.0003892988536525271
log_HCI_x_log_Production,HCI × Production,-0.015256159090918757,-0.061824355126240696,0.03131203694440318,0.023759283691490787
log_GFCF_x_log_Production,GFCF × Production,0.008378978986333538,-0.0007886019595559051,0.017546559932222983,0.004677337217290532
log_HCI_x_forestry_rents,HCI × Forestry,-0.03562964973651342,-0.09306684054742709,0.021807541074400243,0.029304689189241666
log_GFCF_x_forestry_rents,GFCF × Forestry,0.005820405299929396,0.00031052617642301616,0.011330284423435776,0.0028111628181155
