reporterISO,period,cmdCode,primaryValue,reporterDesc,cmdDesc
AFG,2011,2709,316229.0,Afghanistan,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2007,2709,85195.0,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2008,2709,9619.092,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2009,2709,123735.0,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2010,2709,19930.0,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2011,2709,126991.0,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2012,2709,12572.0,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AIA,2007,2709,1984.0,Anguilla,Petroleum oils and oils obtained from bituminous minerals; crude
AIA,2008,2709,58368.0,Anguilla,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2007,2709,7048.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2009,2709,31438446.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2010,2709,13047443.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2011,2709,20463530.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2012,2709,217319.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
AND,2007,2709,1791.552,Andorra,Petroleum oils and oils obtained from bituminous minerals; crude
AND,2008,2709,127.795,Andorra,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2007,2709,7998528.0,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2008,2709,4961653.0,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2009,2709,231537.0,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2010,2709,5675017.0,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2011,2709,1430582.0,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2012,2709,279940.0,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2007,2709,19022164.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2008,2709,2947227.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2009,2709,669.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2010,2709,3241.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2011,2709,5050.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
