period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2007,ABW,Aruba,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",3109.0
2008,ABW,Aruba,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1251858.0
2009,ABW,Aruba,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",34433.0
2010,ABW,Aruba,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",8957.0
2011,ABW,Aruba,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",6707.0
2012,ABW,Aruba,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",40141.0
2009,AFG,Afghanistan,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",556655.0
2010,AFG,Afghanistan,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1069280.0
2011,AFG,Afghanistan,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1149301.0
2008,AGO,Angola,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",9413470.937
2007,AIA,Anguilla,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",630.0
2007,ALB,Albania,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",16158824.0
2008,ALB,Albania,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",27012560.0
2009,ALB,Albania,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",25109727.0
2010,ALB,Albania,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",45197125.0
2011,ALB,Albania,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",59573209.0
2012,ALB,Albania,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",74969955.0
2007,AND,Andorra,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",766388.97
2008,AND,Andorra,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",614402.207
2009,AND,Andorra,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",361511.31
2010,AND,Andorra,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",328826.664
2011,AND,Andorra,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",225830.955
2012,AND,Andorra,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",303029.736
2007,ANT,Netherlands Antilles (...2010),25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",7790569.0
2008,ANT,Netherlands Antilles (...2010),25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",6460160.0
2007,ARE,United Arab Emirates,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",669959584.0
2008,ARE,United Arab Emirates,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",648929417.0
2009,ARE,United Arab Emirates,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",411495001.0
2010,ARE,United Arab Emirates,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",421756537.0
2011,ARE,United Arab Emirates,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",666482179.0
2012,ARE,United Arab Emirates,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",923816318.0
2007,ARG,Argentina,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",68420524.0
2008,ARG,Argentina,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",83881866.0
2009,ARG,Argentina,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",86850991.0
2010,ARG,Argentina,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",107439084.0
2011,ARG,Argentina,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",116107159.0
2012,ARG,Argentina,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",130697241.0
2007,ARM,Armenia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",34749705.0
