period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2007,ABW,Aruba,76,Aluminium and articles thereof,475322.0
2008,ABW,Aruba,76,Aluminium and articles thereof,427253.0
2009,ABW,Aruba,76,Aluminium and articles thereof,411177.0
2010,ABW,Aruba,76,Aluminium and articles thereof,523923.0
2011,ABW,Aruba,76,Aluminium and articles thereof,328945.0
2012,ABW,Aruba,76,Aluminium and articles thereof,543768.0
2008,AGO,Angola,76,Aluminium and articles thereof,639861.243
2007,AIA,Anguilla,76,Aluminium and articles thereof,50130.0
2008,AIA,Anguilla,76,Aluminium and articles thereof,485440.0
2007,ALB,Albania,76,Aluminium and articles thereof,27566944.0
2008,ALB,Albania,76,Aluminium and articles thereof,28139087.0
2009,ALB,Albania,76,Aluminium and articles thereof,15301543.0
2010,ALB,Albania,76,Aluminium and articles thereof,26863578.0
2011,ALB,Albania,76,Aluminium and articles thereof,30643245.0
2012,ALB,Albania,76,Aluminium and articles thereof,29629149.0
2007,AND,Andorra,76,Aluminium and articles thereof,2052198.727
2008,AND,Andorra,76,Aluminium and articles thereof,1255559.953
2009,AND,Andorra,76,Aluminium and articles thereof,688630.757
2010,AND,Andorra,76,Aluminium and articles thereof,682116.593
2011,AND,Andorra,76,Aluminium and articles thereof,763817.143
2012,AND,Andorra,76,Aluminium and articles thereof,644747.465
2007,ANT,Netherlands Antilles (...2010),76,Aluminium and articles thereof,1375502.0
2008,ANT,Netherlands Antilles (...2010),76,Aluminium and articles thereof,1432058.0
2007,ARE,United Arab Emirates,76,Aluminium and articles thereof,781897423.0
2008,ARE,United Arab Emirates,76,Aluminium and articles thereof,684235974.0
2009,ARE,United Arab Emirates,76,Aluminium and articles thereof,515907725.0
2010,ARE,United Arab Emirates,76,Aluminium and articles thereof,732162022.0
2011,ARE,United Arab Emirates,76,Aluminium and articles thereof,1143051078.0
2012,ARE,United Arab Emirates,76,Aluminium and articles thereof,2073735616.0
2007,ARG,Argentina,76,Aluminium and articles thereof,544294659.0
2008,ARG,Argentina,76,Aluminium and articles thereof,802521969.0
2009,ARG,Argentina,76,Aluminium and articles thereof,583849710.0
2010,ARG,Argentina,76,Aluminium and articles thereof,762677114.0
2011,ARG,Argentina,76,Aluminium and articles thereof,859194384.0
2012,ARG,Argentina,76,Aluminium and articles thereof,728074394.0
2007,ARM,Armenia,76,Aluminium and articles thereof,42643261.0
