period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2001,ABW,Aruba,80,Tin; articles thereof,84145.0
2002,ABW,Aruba,80,Tin; articles thereof,34162.0
2003,ABW,Aruba,80,Tin; articles thereof,178626.0
2004,ABW,Aruba,80,Tin; articles thereof,30140.0
2005,ABW,Aruba,80,Tin; articles thereof,22488.0
2006,ABW,Aruba,80,Tin; articles thereof,331105.0
2004,AGO,Angola,80,Tin; articles thereof,43231.377
2005,AGO,Angola,80,Tin; articles thereof,112970.115
2006,AGO,Angola,80,Tin; articles thereof,135742.102
2001,AIA,Anguilla,80,Tin; articles thereof,989.0
2002,AIA,Anguilla,80,Tin; articles thereof,134.0
2003,AIA,Anguilla,80,Tin; articles thereof,42.0
2004,AIA,Anguilla,80,Tin; articles thereof,304.0
2006,AIA,Anguilla,80,Tin; articles thereof,65.0
2001,ALB,Albania,80,Tin; articles thereof,4377.0
2002,ALB,Albania,80,Tin; articles thereof,6225.0
2003,ALB,Albania,80,Tin; articles thereof,14848.0
2004,ALB,Albania,80,Tin; articles thereof,16239.0
2005,ALB,Albania,80,Tin; articles thereof,17921.0
2006,ALB,Albania,80,Tin; articles thereof,16145.0
2001,AND,Andorra,80,Tin; articles thereof,54845.0
2002,AND,Andorra,80,Tin; articles thereof,67493.0
2003,AND,Andorra,80,Tin; articles thereof,32073.0
2004,AND,Andorra,80,Tin; articles thereof,25285.0
2006,AND,Andorra,80,Tin; articles thereof,9062.522
2005,ANT,Netherlands Antilles (...2010),80,Tin; articles thereof,13315.0
2006,ANT,Netherlands Antilles (...2010),80,Tin; articles thereof,16263.0
2001,ARE,United Arab Emirates,80,Tin; articles thereof,6891223.0
2002,ARE,United Arab Emirates,80,Tin; articles thereof,3071043.0
2003,ARE,United Arab Emirates,80,Tin; articles thereof,3606810.0
2004,ARE,United Arab Emirates,80,Tin; articles thereof,8779962.0
2005,ARE,United Arab Emirates,80,Tin; articles thereof,91154095.0
2006,ARE,United Arab Emirates,80,Tin; articles thereof,14749701.0
2001,ARG,Argentina,80,Tin; articles thereof,5018845.0
2002,ARG,Argentina,80,Tin; articles thereof,3656876.0
2003,ARG,Argentina,80,Tin; articles thereof,5430899.0
2004,ARG,Argentina,80,Tin; articles thereof,11363884.0
2005,ARG,Argentina,80,Tin; articles thereof,10865165.0
2006,ARG,Argentina,80,Tin; articles thereof,13009117.0
2001,ARM,Armenia,80,Tin; articles thereof,9903.0
2002,ARM,Armenia,80,Tin; articles thereof,53519.0
2003,ARM,Armenia,80,Tin; articles thereof,20798.0
2004,ARM,Armenia,80,Tin; articles thereof,432.0
2005,ARM,Armenia,80,Tin; articles thereof,76564.0
2006,ARM,Armenia,80,Tin; articles thereof,9524.0
2005,ATG,Antigua and Barbuda,80,Tin; articles thereof,1330.0
2006,ATG,Antigua and Barbuda,80,Tin; articles thereof,5240.0
2001,AUS,Australia,80,Tin; articles thereof,12855496.0
2002,AUS,Australia,80,Tin; articles thereof,12754994.0
2003,AUS,Australia,80,Tin; articles thereof,17537020.0
2004,AUS,Australia,80,Tin; articles thereof,25437085.0
2005,AUS,Australia,80,Tin; articles thereof,24140660.0
2006,AUS,Australia,80,Tin; articles thereof,17055959.0
2001,AUT,Austria,80,Tin; articles thereof,8115706.0
2002,AUT,Austria,80,Tin; articles thereof,7650015.0
2003,AUT,Austria,80,Tin; articles thereof,13349437.0
2004,AUT,Austria,80,Tin; articles thereof,18429314.0
2005,AUT,Austria,80,Tin; articles thereof,19390523.0
2006,AUT,Austria,80,Tin; articles thereof,25168078.0
2002,AZE,Azerbaijan,80,Tin; articles thereof,7353.0
2003,AZE,Azerbaijan,80,Tin; articles thereof,19684.0
2004,AZE,Azerbaijan,80,Tin; articles thereof,78466.0
2005,AZE,Azerbaijan,80,Tin; articles thereof,12754.0
2006,AZE,Azerbaijan,80,Tin; articles thereof,94108.0
2002,BDI,Burundi,80,Tin; articles thereof,5086.0
2003,BDI,Burundi,80,Tin; articles thereof,107302.0
2005,BDI,Burundi,80,Tin; articles thereof,436.0
2006,BDI,Burundi,80,Tin; articles thereof,16749889.0
2001,BEL,Belgium,80,Tin; articles thereof,24589391.0
2002,BEL,Belgium,80,Tin; articles thereof,23355284.0
2003,BEL,Belgium,80,Tin; articles thereof,21218875.0
2004,BEL,Belgium,80,Tin; articles thereof,49858200.0
2005,BEL,Belgium,80,Tin; articles thereof,29127417.0
2006,BEL,Belgium,80,Tin; articles thereof,44414721.0
2001,BEN,Benin,80,Tin; articles thereof,1687.0
2002,BEN,Benin,80,Tin; articles thereof,5358.0
2003,BEN,Benin,80,Tin; articles thereof,511.0
2005,BEN,Benin,80,Tin; articles thereof,454.0
2001,BFA,Burkina Faso,80,Tin; articles thereof,5881.0
2002,BFA,Burkina Faso,80,Tin; articles thereof,919.0
2003,BFA,Burkina Faso,80,Tin; articles thereof,1854.0
2004,BFA,Burkina Faso,80,Tin; articles thereof,16698.0
2005,BFA,Burkina Faso,80,Tin; articles thereof,14535.474
2006,BFA,Burkina Faso,80,Tin; articles thereof,4753.081
2001,BGD,Bangladesh,80,Tin; articles thereof,1325614.0
2002,BGD,Bangladesh,80,Tin; articles thereof,1187696.0
2003,BGD,Bangladesh,80,Tin; articles thereof,927370.0
2004,BGD,Bangladesh,80,Tin; articles thereof,508019.0
2005,BGD,Bangladesh,80,Tin; articles thereof,2291401.0
2006,BGD,Bangladesh,80,Tin; articles thereof,482517.0
2001,BGR,Bulgaria,80,Tin; articles thereof,699007.0
2002,BGR,Bulgaria,80,Tin; articles thereof,678273.0
2003,BGR,Bulgaria,80,Tin; articles thereof,596020.0
2004,BGR,Bulgaria,80,Tin; articles thereof,692283.0
2005,BGR,Bulgaria,80,Tin; articles thereof,940298.0
2006,BGR,Bulgaria,80,Tin; articles thereof,3219574.0
2001,BHR,Bahrain,80,Tin; articles thereof,10856.0
2002,BHR,Bahrain,80,Tin; articles thereof,23133.0
2003,BHR,Bahrain,80,Tin; articles thereof,7694.0
2004,BHR,Bahrain,80,Tin; articles thereof,42952.0
2005,BHR,Bahrain,80,Tin; articles thereof,32883.0
2006,BHR,Bahrain,80,Tin; articles thereof,186755.0
2001,BHS,Bahamas,80,Tin; articles thereof,137493.0
2002,BHS,Bahamas,80,Tin; articles thereof,91978.0
2003,BHS,Bahamas,80,Tin; articles thereof,172858.0
2004,BHS,Bahamas,80,Tin; articles thereof,161096.0
2005,BHS,Bahamas,80,Tin; articles thereof,151459.0
2006,BHS,Bahamas,80,Tin; articles thereof,128574.0
2003,BIH,Bosnia Herzegovina,80,Tin; articles thereof,106150.0
2004,BIH,Bosnia Herzegovina,80,Tin; articles thereof,761753.0
2005,BIH,Bosnia Herzegovina,80,Tin; articles thereof,298563.0
2006,BIH,Bosnia Herzegovina,80,Tin; articles thereof,298586.0
2001,BLR,Belarus,80,Tin; articles thereof,2181100.0
2002,BLR,Belarus,80,Tin; articles thereof,1397200.0
2003,BLR,Belarus,80,Tin; articles thereof,2588300.0
2004,BLR,Belarus,80,Tin; articles thereof,4047400.0
2005,BLR,Belarus,80,Tin; articles thereof,2195100.0
2006,BLR,Belarus,80,Tin; articles thereof,1957800.0
2001,BLZ,Belize,80,Tin; articles thereof,1146.0
2002,BLZ,Belize,80,Tin; articles thereof,2976.0
2003,BLZ,Belize,80,Tin; articles thereof,1353.0
2004,BLZ,Belize,80,Tin; articles thereof,8623.5
2005,BLZ,Belize,80,Tin; articles thereof,2096.5
2006,BLZ,Belize,80,Tin; articles thereof,16831.0
2005,BMU,Bermuda,80,Tin; articles thereof,87433.0
2006,BMU,Bermuda,80,Tin; articles thereof,79820.0
2001,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,657648.0
2002,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,12577.0
2003,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,6977.0
2004,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,5612.0
2005,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,18363.0
2006,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,171837.0
2001,BRA,Brazil,80,Tin; articles thereof,1892832.0
2002,BRA,Brazil,80,Tin; articles thereof,2553089.0
2003,BRA,Brazil,80,Tin; articles thereof,5345990.0
2004,BRA,Brazil,80,Tin; articles thereof,17107166.0
