period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2023,ABW,Aruba,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",15549040.004
2023,AGO,Angola,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",24646424.005
2023,ALB,Albania,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",64201096.303
2023,AND,Andorra,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",13779177.945
2023,ARE,United Arab Emirates,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",442045668.881
2023,ARG,Argentina,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",176218221.51
2023,ARM,Armenia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",36234896.42
2023,ATG,Antigua and Barbuda,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",5255373.021
2023,AUS,Australia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",790282654.808
2023,AUT,Austria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",643932226.343
2023,AZE,Azerbaijan,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",35301650.62
2023,BDI,Burundi,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",39725719.033
2023,BEL,Belgium,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1327876312.094
2023,BEN,Benin,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",42360881.563
2023,BFA,Burkina Faso,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",249391871.407
2023,BGR,Bulgaria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",160894396.459
2023,BHR,Bahrain,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",138964685.586
2023,BHS,Bahamas,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",29826840.0
2023,BIH,Bosnia Herzegovina,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",79680574.885
2023,BLZ,Belize,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",20275864.845
2023,BMU,Bermuda,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",5164345.56
2023,BOL,Bolivia (Plurinational State of),25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",12866827.0
2023,BRA,Brazil,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1166509211.0
2023,BRB,Barbados,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",10656171.5
2023,BRN,Brunei Darussalam,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",31228687.823
2023,BTN,Bhutan,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",9579100.581
2023,BWA,Botswana,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",59693993.619
2023,CAF,Central African Rep.,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",16388153.355
2023,CAN,Canada,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1203007977.084
2023,CHE,Switzerland,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",407432815.932
2023,CHL,Chile,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",334331379.613
2023,CHN,China,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",21661895222.0
2023,CIV,Côte d'Ivoire,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",348608319.1
2023,CMR,Cameroon,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",192883400.302
2023,COD,Dem. Rep. of the Congo,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",2207251268.76
2023,COG,Congo,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",40597689.103
2023,COL,Colombia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",187396196.53
2023,COM,Comoros,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",19804392.422
2023,CPV,Cabo Verde,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",35271753.335
