period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2000,ABW,Aruba,79,Zinc and articles thereof,481022.0
2000,AIA,Anguilla,79,Zinc and articles thereof,118494.0
1996,ALB,Albania,79,Zinc and articles thereof,1328553.0
1997,ALB,Albania,79,Zinc and articles thereof,511038.0
1998,ALB,Albania,79,Zinc and articles thereof,909648.0
1999,ALB,Albania,79,Zinc and articles thereof,551611.0
2000,ALB,Albania,79,Zinc and articles thereof,700399.0
1995,AND,Andorra,79,Zinc and articles thereof,121352.0
1996,AND,Andorra,79,Zinc and articles thereof,96554.0
1997,AND,Andorra,79,Zinc and articles thereof,116535.0
1998,AND,Andorra,79,Zinc and articles thereof,103729.0
1999,AND,Andorra,79,Zinc and articles thereof,70856.0
2000,AND,Andorra,79,Zinc and articles thereof,96805.0
1998,ANT,Netherlands Antilles (...2010),79,Zinc and articles thereof,226829.0
1999,ARE,United Arab Emirates,79,Zinc and articles thereof,6256573.0
2000,ARE,United Arab Emirates,79,Zinc and articles thereof,11960924.0
1995,ARG,Argentina,79,Zinc and articles thereof,7255133.0
1996,ARG,Argentina,79,Zinc and articles thereof,10740905.0
1997,ARG,Argentina,79,Zinc and articles thereof,16294247.0
1998,ARG,Argentina,79,Zinc and articles thereof,13002225.0
1999,ARG,Argentina,79,Zinc and articles thereof,8089187.0
2000,ARG,Argentina,79,Zinc and articles thereof,9722669.0
1997,ARM,Armenia,79,Zinc and articles thereof,192143.0
1999,ARM,Armenia,79,Zinc and articles thereof,38787.0
2000,ARM,Armenia,79,Zinc and articles thereof,187458.0
1999,ATG,Antigua and Barbuda,79,Zinc and articles thereof,19113.0
2000,ATG,Antigua and Barbuda,79,Zinc and articles thereof,21796.0
1995,AUS,Australia,79,Zinc and articles thereof,5796911.0
1996,AUS,Australia,79,Zinc and articles thereof,4100510.0
1997,AUS,Australia,79,Zinc and articles thereof,6246095.0
1998,AUS,Australia,79,Zinc and articles thereof,7603616.0
1999,AUS,Australia,79,Zinc and articles thereof,9265536.0
2000,AUS,Australia,79,Zinc and articles thereof,8693347.0
1995,AUT,Austria,79,Zinc and articles thereof,90782944.0
1996,AUT,Austria,79,Zinc and articles thereof,99640640.0
1997,AUT,Austria,79,Zinc and articles thereof,134939728.0
1998,AUT,Austria,79,Zinc and articles thereof,136435232.0
1999,AUT,Austria,79,Zinc and articles thereof,98889753.0
2000,AUT,Austria,79,Zinc and articles thereof,102599163.0
1996,AZE,Azerbaijan,79,Zinc and articles thereof,784307.0
1997,AZE,Azerbaijan,79,Zinc and articles thereof,62697.0
1998,AZE,Azerbaijan,79,Zinc and articles thereof,446314.0
1999,AZE,Azerbaijan,79,Zinc and articles thereof,56042.0
2000,AZE,Azerbaijan,79,Zinc and articles thereof,115123.0
1995,BDI,Burundi,79,Zinc and articles thereof,149170.0
1996,BDI,Burundi,79,Zinc and articles thereof,9378.0
1997,BDI,Burundi,79,Zinc and articles thereof,40440.0
1998,BDI,Burundi,79,Zinc and articles thereof,750942.0
1999,BDI,Burundi,79,Zinc and articles thereof,279476.0
2000,BDI,Burundi,79,Zinc and articles thereof,275450.0
1995,BEL,Belgium-Luxembourg (...1998),79,Zinc and articles thereof,252222208.0
1996,BEL,Belgium-Luxembourg (...1998),79,Zinc and articles thereof,347132640.0
1997,BEL,Belgium-Luxembourg (...1998),79,Zinc and articles thereof,468359424.0
1998,BEL,Belgium-Luxembourg (...1998),79,Zinc and articles thereof,385696096.0
1999,BEL,Belgium,79,Zinc and articles thereof,336157802.0
2000,BEL,Belgium,79,Zinc and articles thereof,407210395.0
1998,BEN,Benin,79,Zinc and articles thereof,20720.0
1999,BEN,Benin,79,Zinc and articles thereof,51464.0
2000,BEN,Benin,79,Zinc and articles thereof,138830.0
1995,BFA,Burkina Faso,79,Zinc and articles thereof,552611.0
1996,BFA,Burkina Faso,79,Zinc and articles thereof,556125.0
1997,BFA,Burkina Faso,79,Zinc and articles thereof,574418.0
1998,BFA,Burkina Faso,79,Zinc and articles thereof,575407.0
1999,BFA,Burkina Faso,79,Zinc and articles thereof,270180.0
2000,BFA,Burkina Faso,79,Zinc and articles thereof,7065.0
1995,BGD,Bangladesh,79,Zinc and articles thereof,38587103.0
1996,BGD,Bangladesh,79,Zinc and articles thereof,37440348.0
1997,BGD,Bangladesh,79,Zinc and articles thereof,81630656.0
1998,BGD,Bangladesh,79,Zinc and articles thereof,38179505.0
2000,BGD,Bangladesh,79,Zinc and articles thereof,67393972.0
1996,BGR,Bulgaria,79,Zinc and articles thereof,858228.0
1997,BGR,Bulgaria,79,Zinc and articles thereof,696713.0
1998,BGR,Bulgaria,79,Zinc and articles thereof,1408324.0
1999,BGR,Bulgaria,79,Zinc and articles thereof,826555.0
2000,BGR,Bulgaria,79,Zinc and articles thereof,1637640.0
2000,BHR,Bahrain,79,Zinc and articles thereof,765589.0
1997,BHS,Bahamas,79,Zinc and articles thereof,239462.0
1998,BHS,Bahamas,79,Zinc and articles thereof,334735.0
1999,BHS,Bahamas,79,Zinc and articles thereof,399736.0
2000,BHS,Bahamas,79,Zinc and articles thereof,551188.0
1998,BLR,Belarus,79,Zinc and articles thereof,4270086.0
1999,BLR,Belarus,79,Zinc and articles thereof,5309492.0
2000,BLR,Belarus,79,Zinc and articles thereof,6932100.0
1995,BLZ,Belize,79,Zinc and articles thereof,26336.0
1996,BLZ,Belize,79,Zinc and articles thereof,7397.0
1997,BLZ,Belize,79,Zinc and articles thereof,17828.0
1998,BLZ,Belize,79,Zinc and articles thereof,9645.0
1999,BLZ,Belize,79,Zinc and articles thereof,540.0
2000,BLZ,Belize,79,Zinc and articles thereof,48855.0
1995,BMU,Bermuda,79,Zinc and articles thereof,27987.0
1997,BMU,Bermuda,79,Zinc and articles thereof,23995.0
1995,BOL,Bolivia (Plurinational State of),79,Zinc and articles thereof,969593.0
1996,BOL,Bolivia (Plurinational State of),79,Zinc and articles thereof,713736.0
1997,BOL,Bolivia (Plurinational State of),79,Zinc and articles thereof,533945.0
1998,BOL,Bolivia (Plurinational State of),79,Zinc and articles thereof,503158.0
1999,BOL,Bolivia (Plurinational State of),79,Zinc and articles thereof,337312.0
2000,BOL,Bolivia (Plurinational State of),79,Zinc and articles thereof,423931.0
1995,BRA,Brazil,79,Zinc and articles thereof,51407908.0
1996,BRA,Brazil,79,Zinc and articles thereof,9754800.0
1997,BRA,Brazil,79,Zinc and articles thereof,10793379.0
1998,BRA,Brazil,79,Zinc and articles thereof,17674896.0
1999,BRA,Brazil,79,Zinc and articles thereof,25880650.0
2000,BRA,Brazil,79,Zinc and articles thereof,34448652.0
1997,BRB,Barbados,79,Zinc and articles thereof,53051.0
1998,BRB,Barbados,79,Zinc and articles thereof,17965.0
1999,BRB,Barbados,79,Zinc and articles thereof,8382.0
2000,BRB,Barbados,79,Zinc and articles thereof,41612.0
1997,BRN,Brunei Darussalam,79,Zinc and articles thereof,732259.0
1998,BRN,Brunei Darussalam,79,Zinc and articles thereof,412551.0
2000,BWA,Botswana,79,Zinc and articles thereof,809914.0
1995,CAF,Central African Rep.,79,Zinc and articles thereof,314013.0
1996,CAF,Central African Rep.,79,Zinc and articles thereof,573885.0
1997,CAF,Central African Rep.,79,Zinc and articles thereof,5233.0
1998,CAF,Central African Rep.,79,Zinc and articles thereof,624.0
2000,CAF,Central African Rep.,79,Zinc and articles thereof,14676.0
1995,CAN,Canada,79,Zinc and articles thereof,34690664.0
1996,CAN,Canada,79,Zinc and articles thereof,36866937.0
1997,CAN,Canada,79,Zinc and articles thereof,60263320.0
1998,CAN,Canada,79,Zinc and articles thereof,53074052.0
1999,CAN,Canada,79,Zinc and articles thereof,55835972.0
2000,CAN,Canada,79,Zinc and articles thereof,66639006.0
1995,CHE,Switzerland,79,Zinc and articles thereof,57860016.0
