period,reporterISO,reporterDesc,total_imports_usd
2001,ABW,Aruba,836234454.0
2002,ABW,Aruba,842875655.0
2003,ABW,Aruba,846620627.0
2004,ABW,Aruba,876171743.0
2005,ABW,Aruba,1030046306.0
2006,ABW,Aruba,1041334001.0
2004,AGO,Angola,5072075923.756
2005,AGO,Angola,7908231278.558
2006,AGO,Angola,10598146741.371
2001,AIA,Anguilla,77704660.0
2002,AIA,Anguilla,69893421.0
2003,AIA,Anguilla,76776651.0
2004,AIA,Anguilla,102438551.0
2006,AIA,Anguilla,174899062.0
2001,ALB,Albania,1330631066.0
2002,ALB,Albania,1503685206.0
2003,ALB,Albania,1864328860.0
2004,ALB,Albania,2300168341.0
2005,ALB,Albania,2614347012.0
2006,ALB,Albania,3057408426.0
2001,AND,Andorra,1042065997.0
2002,AND,Andorra,1199570945.0
2003,AND,Andorra,1513115270.0
2004,AND,Andorra,1761745343.0
2006,AND,Andorra,1787807640.605
2005,ANT,Netherlands Antilles (...2010),894251685.0
2006,ANT,Netherlands Antilles (...2010),1016717352.0
2001,ARE,United Arab Emirates,30544757668.0
2002,ARE,United Arab Emirates,42652100000.0
2003,ARE,United Arab Emirates,52074000000.0
2004,ARE,United Arab Emirates,72072000000.0
2005,ARE,United Arab Emirates,80814015853.0
2006,ARE,United Arab Emirates,97863600000.0
2001,ARG,Argentina,20321127098.0
2002,ARG,Argentina,8989546000.0
2003,ARG,Argentina,13850774000.0
2004,ARG,Argentina,22445246576.0
2005,ARG,Argentina,28688637653.0
2006,ARG,Argentina,34153541756.0
2001,ARM,Armenia,837467564.0
2002,ARM,Armenia,962930979.0
2003,ARM,Armenia,1236583577.0
2004,ARM,Armenia,1349761910.0
2005,ARM,Armenia,1691542087.0
2006,ARM,Armenia,2194358169.0
2005,ATG,Antigua and Barbuda,525205964.0
2006,ATG,Antigua and Barbuda,670748045.0
2001,AUS,Australia,64319977353.0
2002,AUS,Australia,73025896959.0
2003,AUS,Australia,89065101558.0
2004,AUS,Australia,109482715206.0
2005,AUS,Australia,125221245282.0
2006,AUS,Australia,139354165032.0
2001,AUT,Austria,70491571059.0
2002,AUT,Austria,72796195961.0
2003,AUT,Austria,91595357834.0
2004,AUT,Austria,111261147199.0
2005,AUT,Austria,119950092010.0
2006,AUT,Austria,134356314386.0
2001,AZE,Azerbaijan,1430877454.0
2002,AZE,Azerbaijan,1665564219.0
2003,AZE,Azerbaijan,2626427367.0
2004,AZE,Azerbaijan,3515861062.0
2005,AZE,Azerbaijan,4211207311.0
2006,AZE,Azerbaijan,5266743705.0
2001,BDI,Burundi,138898120.0
2002,BDI,Burundi,128838553.0
2003,BDI,Burundi,144650753.0
2004,BDI,Burundi,172728958.0
2005,BDI,Burundi,258152953.0
2006,BDI,Burundi,433635513.0
2001,BEL,Belgium,178697512388.0
2002,BEL,Belgium,198094630569.0
2003,BEL,Belgium,234922194436.0
2004,BEL,Belgium,286478237982.0
2005,BEL,Belgium,319085461278.0
2006,BEL,Belgium,353093659615.0
2001,BEN,Benin,601510182.0
2002,BEN,Benin,725028594.0
2003,BEN,Benin,891974145.0
