period,reporterISO,reporterDesc,total_exports_usd
2019,ABW,Aruba,78642939.383
2020,ABW,Aruba,65929725.265
2021,ABW,Aruba,88347007.693
2022,ABW,Aruba,104796786.791
2023,ABW,Aruba,111004913.519
2019,AFG,Afghanistan,870488512.46
2019,AGO,Angola,35432454858.832
2020,AGO,Angola,22134505473.377
2021,AGO,Angola,34472161956.832
2022,AGO,Angola,51274951711.647
2023,AGO,Angola,39505783208.732
2019,ALB,Albania,2719428708.042
2020,ALB,Albania,2415632335.419
2021,ALB,Albania,3562297235.872
2022,ALB,Albania,4306234747.242
2023,ALB,Albania,4374857212.456
2019,AND,Andorra,125151573.783
2020,AND,Andorra,166781089.325
2021,AND,Andorra,163974317.889
2022,AND,Andorra,386142995.678
2023,AND,Andorra,252365105.054
2019,ARE,United Arab Emirates,389427993903.956
2020,ARE,United Arab Emirates,335296907869.73
2021,ARE,United Arab Emirates,425159796503.562
2022,ARE,United Arab Emirates,515621189049.101
2023,ARE,United Arab Emirates,570245383584.532
2019,ARG,Argentina,65115326623.66
2020,ARG,Argentina,54883822445.7
2021,ARG,Argentina,77934314986.58
2022,ARG,Argentina,88445718838.32
2023,ARG,Argentina,66788515986.35
2019,ARM,Armenia,2618637445.53
2020,ARM,Armenia,2332082153.105
2021,ARM,Armenia,2964798290.08
2022,ARM,Armenia,5364133601.71
2023,ARM,Armenia,8508041375.93
2019,ATG,Antigua and Barbuda,37400118.403
2020,ATG,Antigua and Barbuda,22199424.632
2021,ATG,Antigua and Barbuda,19147287.133
2022,ATG,Antigua and Barbuda,21876396.041
2023,ATG,Antigua and Barbuda,30496874.229
2019,AUS,Australia,270260835869.77
2020,AUS,Australia,247159345941.573
2021,AUS,Australia,342036103269.844
2022,AUS,Australia,410252834479.043
2023,AUS,Australia,369235124159.052
2019,AUT,Austria,171532054962.314
2020,AUT,Austria,162145129017.335
2021,AUT,Austria,194703245949.459
2022,AUT,Austria,203753247346.142
2023,AUT,Austria,216176589470.172
2019,AZE,Azerbaijan,19635202600.73
2020,AZE,Azerbaijan,13732637263.23
2021,AZE,Azerbaijan,22207974784.94
2022,AZE,Azerbaijan,38146430731.08
2023,AZE,Azerbaijan,33898554855.28
2019,BDI,Burundi,180850693.901
2020,BDI,Burundi,161435827.836
2021,BDI,Burundi,163656476.675
2022,BDI,Burundi,207868668.533
2023,BDI,Burundi,217474261.16
2019,BEL,Belgium,311796811947.95
2020,BEL,Belgium,295143761843.513
2021,BEL,Belgium,385980404667.027
2022,BEL,Belgium,455402707991.035
2023,BEL,Belgium,397307958062.375
2019,BEN,Benin,850663257.893
2020,BEN,Benin,846059922.535
2021,BEN,Benin,1025544254.258
2022,BEN,Benin,899184556.106
2023,BEN,Benin,1052210913.543
2019,BFA,Burkina Faso,3261104826.818
2020,BFA,Burkina Faso,4374631844.748
2021,BFA,Burkina Faso,5060027958.95
2022,BFA,Burkina Faso,4556026146.944
2023,BFA,Burkina Faso,4458757137.217
2019,BGR,Bulgaria,33454448049.403
2020,BGR,Bulgaria,31914703883.498
2021,BGR,Bulgaria,41370856687.293
2022,BGR,Bulgaria,50250282857.552
2023,BGR,Bulgaria,47900556830.376
2019,BHR,Bahrain,14167263135.073
2020,BHR,Bahrain,11559232443.05
2021,BHR,Bahrain,18198973799.994
2022,BHR,Bahrain,22252183289.268
2023,BHR,Bahrain,12406927759.432
2019,BHS,Bahamas,537268559.81
2020,BHS,Bahamas,339259846.0
2021,BHS,Bahamas,543423784.0
2022,BHS,Bahamas,574236512.0
2023,BHS,Bahamas,700601581.0
2019,BIH,Bosnia Herzegovina,6578243902.235
2020,BIH,Bosnia Herzegovina,6152512537.995
2021,BIH,Bosnia Herzegovina,8614110010.866
2022,BIH,Bosnia Herzegovina,9678152369.771
2023,BIH,Bosnia Herzegovina,9228185850.185
2019,BLR,Belarus,32955122400.0
2020,BLR,Belarus,29179441000.0
2021,BLR,Belarus,39889022800.0
2019,BLZ,Belize,245901227.358
2020,BLZ,Belize,212722306.528
2021,BLZ,Belize,263607618.645
2022,BLZ,Belize,294203366.796
2023,BLZ,Belize,253837545.553
2019,BMU,Bermuda,26832552.27
2020,BMU,Bermuda,19103500.16
2021,BMU,Bermuda,28632529.08
2022,BMU,Bermuda,33526784.43
2023,BMU,Bermuda,22284773.74
2019,BOL,Bolivia (Plurinational State of),8933330988.37
2020,BOL,Bolivia (Plurinational State of),7032764187.99
