period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2007,ABW,Aruba,74,Copper and articles thereof,2131499.0
2008,ABW,Aruba,74,Copper and articles thereof,3494280.0
2009,ABW,Aruba,74,Copper and articles thereof,2230745.0
2010,ABW,Aruba,74,Copper and articles thereof,1741961.0
2011,ABW,Aruba,74,Copper and articles thereof,2514025.0
2012,ABW,Aruba,74,Copper and articles thereof,2622544.0
2007,AGO,Angola,74,Copper and articles thereof,13782550.0
2008,AGO,Angola,74,Copper and articles thereof,24348955.162
2009,AGO,Angola,74,Copper and articles thereof,29346781.0
2010,AGO,Angola,74,Copper and articles thereof,38109952.0
2011,AGO,Angola,74,Copper and articles thereof,22360274.0
2012,AGO,Angola,74,Copper and articles thereof,35034892.0
2007,AIA,Anguilla,74,Copper and articles thereof,571311.0
2008,AIA,Anguilla,74,Copper and articles thereof,597476.0
2007,ALB,Albania,74,Copper and articles thereof,7743026.0
2008,ALB,Albania,74,Copper and articles thereof,7469718.0
2009,ALB,Albania,74,Copper and articles thereof,4992203.0
2010,ALB,Albania,74,Copper and articles thereof,4897004.0
2011,ALB,Albania,74,Copper and articles thereof,5310897.0
2012,ALB,Albania,74,Copper and articles thereof,4568483.0
2007,AND,Andorra,74,Copper and articles thereof,871786.631
2008,AND,Andorra,74,Copper and articles thereof,1366839.829
2009,AND,Andorra,74,Copper and articles thereof,848639.415
2010,AND,Andorra,74,Copper and articles thereof,672568.064
2011,AND,Andorra,74,Copper and articles thereof,781568.414
2012,AND,Andorra,74,Copper and articles thereof,512368.696
2007,ANT,Netherlands Antilles (...2010),74,Copper and articles thereof,2951163.0
2008,ANT,Netherlands Antilles (...2010),74,Copper and articles thereof,4808018.0
2007,ARE,United Arab Emirates,74,Copper and articles thereof,864028489.0
2008,ARE,United Arab Emirates,74,Copper and articles thereof,1301227528.0
2009,ARE,United Arab Emirates,74,Copper and articles thereof,919809688.0
2010,ARE,United Arab Emirates,74,Copper and articles thereof,1681830771.0
2011,ARE,United Arab Emirates,74,Copper and articles thereof,2650609151.0
2012,ARE,United Arab Emirates,74,Copper and articles thereof,3515381518.0
2007,ARG,Argentina,74,Copper and articles thereof,309645657.0
2008,ARG,Argentina,74,Copper and articles thereof,345117546.0
2009,ARG,Argentina,74,Copper and articles thereof,218768996.0
2010,ARG,Argentina,74,Copper and articles thereof,293782146.0
2011,ARG,Argentina,74,Copper and articles thereof,424588357.0
2012,ARG,Argentina,74,Copper and articles thereof,397196132.0
2007,ARM,Armenia,74,Copper and articles thereof,4659365.0
2008,ARM,Armenia,74,Copper and articles thereof,9291003.0
2009,ARM,Armenia,74,Copper and articles thereof,2479850.0
2010,ARM,Armenia,74,Copper and articles thereof,3547016.0
2011,ARM,Armenia,74,Copper and articles thereof,4231739.0
2012,ARM,Armenia,74,Copper and articles thereof,3789895.0
2007,ATG,Antigua and Barbuda,74,Copper and articles thereof,1338532.0
2009,ATG,Antigua and Barbuda,74,Copper and articles thereof,900695.0
2010,ATG,Antigua and Barbuda,74,Copper and articles thereof,437985.0
2011,ATG,Antigua and Barbuda,74,Copper and articles thereof,426369.0
2012,ATG,Antigua and Barbuda,74,Copper and articles thereof,539801.0
2007,AUS,Australia,74,Copper and articles thereof,691121687.0
2008,AUS,Australia,74,Copper and articles thereof,883760775.0
2009,AUS,Australia,74,Copper and articles thereof,694333912.0
2010,AUS,Australia,74,Copper and articles thereof,1156210325.0
2011,AUS,Australia,74,Copper and articles thereof,1144858679.0
2012,AUS,Australia,74,Copper and articles thereof,1382142229.0
2007,AUT,Austria,74,Copper and articles thereof,1967884730.0
2008,AUT,Austria,74,Copper and articles thereof,2170736617.0
