period,reporterISO,reporterDesc,total_imports_usd
2023,ABW,Aruba,1536519564.793
2023,AGO,Angola,15695872014.241
2023,ALB,Albania,8668927602.553
2023,AND,Andorra,1994797838.0
2023,ARE,United Arab Emirates,470536019784.564
2023,ARG,Argentina,73713612595.47
2023,ARM,Armenia,12473824718.577
2023,ATG,Antigua and Barbuda,669653743.723
2023,AUS,Australia,287861341163.506
2023,AUT,Austria,219097053477.848
2023,AZE,Azerbaijan,17278236451.58
2023,BDI,Burundi,1182292485.065
2023,BEL,Belgium,403198477282.953
2023,BEN,Benin,3904898286.01
2023,BFA,Burkina Faso,5880261677.507
2023,BGR,Bulgaria,53528641323.766
2023,BHR,Bahrain,15354369877.812
2023,BHS,Bahamas,4187477640.0
2023,BIH,Bosnia Herzegovina,15348896098.385
2023,BLZ,Belize,1340857181.601
2023,BMU,Bermuda,1178658451.56
2023,BOL,Bolivia (Plurinational State of),11489290064.0
2023,BRA,Brazil,252710460140.0
2023,BRB,Barbados,2142606689.0
2023,BRN,Brunei Darussalam,7484472312.892
2023,BTN,Bhutan,1289872122.512
2023,BWA,Botswana,6417467724.96
2023,CAF,Central African Rep.,742447514.231
2023,CAN,Canada,558529223348.125
2023,CHE,Switzerland,365372487609.004
2023,CHL,Chile,85193361874.861
2023,CHN,China,2556763018595.0
2023,CIV,Côte d'Ivoire,18842142271.002
2023,CMR,Cameroon,8296875048.587
2023,COD,Dem. Rep. of the Congo,25529166293.5
2023,COG,Congo,4698065598.699
2023,COL,Colombia,62780546566.77
2023,COM,Comoros,273141564.971
2023,CPV,Cabo Verde,1758896767.736
2023,CRI,Costa Rica,22512106218.479
2023,CYM,Cayman Isds,1831972713.276
2023,CYP,Cyprus,14261326213.08
2023,CZE,Czechia,228913298532.0
2023,DEU,Germany,1486746612551.526
2023,DJI,Djibouti,5294939996.122
2023,DMA,Dominica,301308617.58
2023,DNK,Denmark,120211272023.07
2023,DOM,Dominican Rep.,31341173294.242
2023,ECU,Ecuador,30895673812.6
2023,EGY,Egypt,84217629482.006
2023,ESP,Spain,469043091352.087
2023,EST,Estonia,23437466334.43
2023,ETH,Ethiopia,17050150860.951
2023,FIN,Finland,83093614764.398
2023,FJI,Fiji,3100455051.616
2023,FRA,France,803968336404.732
2023,GAB,Gabon,4217063693.134
2023,GBR,United Kingdom,791657207072.251
2023,GEO,Georgia,15610158504.405
2023,GHA,Ghana,16394367827.129
2023,GMB,Gambia,2447864236.075
2023,GRC,Greece,88606155533.414
2023,GRD,Grenada,608759031.293
2023,GTM,Guatemala,30277974452.0
2023,GUY,Guyana,5230066222.935
2023,HKG,"China, Hong Kong SAR",654823993479.313
2023,HND,Honduras,14380533411.63
2023,HRV,Croatia,42552636805.0
2023,HUN,Hungary,150647777974.957
2023,IDN,Indonesia,223107450095.0
2023,IND,India,672140129635.882
2023,IRL,Ireland,150611380483.634
2023,ISL,Iceland,9470151445.814
2023,ISR,Israel,91876859000.0
2023,ITA,Italy,640044874326.941
2023,JAM,Jamaica,7592057989.91
2023,JOR,Jordan,25707802376.37
2023,JPN,Japan,751750352188.115
2023,KAZ,Kazakhstan,61160501425.8
2023,KEN,Kenya,18604452437.681
2023,KGZ,Kyrgyzstan,12516346615.0
2023,KHM,Cambodia,24410892090.685
2023,KOR,Rep. of Korea,642549800743.0
2023,KWT,Kuwait,37489710521.588
2023,LAO,Lao People's Dem. Rep.,7075164401.132
2023,LBN,Lebanon,18122412183.0
2023,LBR,Liberia,2163463648.392
2023,LKA,Sri Lanka,16386223816.91
2023,LSO,Lesotho,1721616288.468
2023,LTU,Lithuania,48418282581.0
2023,LUX,Luxembourg,26085215084.344
2023,LVA,Latvia,24546413126.081
2023,MAC,"China, Macao SAR",17560700573.09
2023,MAR,Morocco,70644998459.912
2023,MDA,Rep. of Moldova,8673671693.0
2023,MDG,Madagascar,4816555845.013
2023,MDV,Maldives,3489004654.156
2023,MEX,Mexico,605582537052.0
2023,MKD,North Macedonia,12052389309.404
2023,MLI,Mali,6416645383.337
2023,MLT,Malta,8390918749.579
2023,MMR,Myanmar,16440463121.201
2023,MNE,Montenegro,4116052842.255
2023,MNG,Mongolia,9252428067.431
2023,MOZ,Mozambique,10091853000.0
2023,MRT,Mauritania,4817657640.785
2023,MSR,Montserrat,47524633.856
2023,MUS,Mauritius,6281534269.694
2023,MWI,Malawi,3140741580.98
2023,MYS,Malaysia,265637832626.023
2023,NAM,Namibia,7300233486.067
2023,NER,Niger,3149414183.21
2023,NGA,Nigeria,65047894217.899
2023,NIC,Nicaragua,10911889588.54
2023,NLD,Netherlands,647033893658.193
2023,NOR,Norway,96984707369.589
2023,NZL,New Zealand,50459157960.121
2023,OMN,Oman,38775376506.287
2023,PAK,Pakistan,50009391529.141
2023,PAN,Panama,14520871959.0
2023,PER,Peru,52163918741.49
2023,PHL,Philippines,133751638771.0
2023,PNG,Papua New Guinea,6174037014.268
2023,POL,Poland,371400902135.0
2023,PRT,Portugal,113690524448.707
2023,PRY,Paraguay,16134394001.546
2023,PSE,State of Palestine,8270533700.366
2023,PYF,French Polynesia,2302657016.743
2023,QAT,Qatar,31431140740.145
2023,ROU,Romania,131962913075.36
2023,S19,"Other Asia, nes",358505331667.303
2023,SAU,Saudi Arabia,206939797105.705
2023,SEN,Senegal,11879388061.947
2023,SGP,Singapore,422419822234.11
2023,SLV,El Salvador,15648326858.96
2023,SRB,Serbia,39827593654.0
2023,STP,Sao Tome and Principe,183563238.117
2023,SUR,Suriname,1697155191.888
2023,SVK,Slovakia,115363878782.614
2023,SVN,Slovenia,61689903069.76
2023,SWE,Sweden,193241452517.41
2023,SWZ,Eswatini,2038538969.12
2023,SYC,Seychelles,1468094786.253
2023,TGO,Togo,3048896759.421
2023,THA,Thailand,288499167734.577
2023,TJK,Tajikistan,4249831185.24
2023,TLS,Timor-Leste,909435425.2
2023,TON,Tonga,326484348.087
2023,TTO,Trinidad and Tobago,9160019517.177
2023,TUN,Tunisia,25930493874.99
2023,TUR,Türkiye,361966912768.0
2023,TZA,United Rep. of Tanzania,15117482286.806
2023,UGA,Uganda,11780107481.99
2023,UKR,Ukraine,63561928404.96
2023,URY,Uruguay,12486195279.53
2023,USA,USA,3168471121076.0
2023,UZB,Uzbekistan,36660333514.05
2023,VCT,Saint Vincent and the Grenadines,456433084.893
2023,VNM,Viet Nam,325443689199.0
2023,WSM,Samoa,473312434.532
2023,YEM,Yemen,1646347708.05
2023,ZAF,South Africa,107122724129.389
2023,ZMB,Zambia,10125486798.647
2023,ZWE,Zimbabwe,9201594318.416
