reporterISO,period,cmdCode,primaryValue,reporterDesc,cmdDesc
ALB,2020,2716,15651002.494,Albania,Electrical energy
ALB,2022,2716,8466046.364,Albania,Electrical energy
ALB,2023,2716,207037454.953,Albania,Electrical energy
ARE,2019,2716,56428.639,United Arab Emirates,Electrical energy
ARE,2020,2716,53998.371,United Arab Emirates,Electrical energy
ARE,2021,2716,84208.303,United Arab Emirates,Electrical energy
ARE,2022,2716,860182.141,United Arab Emirates,Electrical energy
ARE,2023,2716,54441.393,United Arab Emirates,Electrical energy
ARM,2019,2716,65568762.26,Armenia,Electrical energy
ARM,2020,2716,64321879.0,Armenia,Electrical energy
ARM,2021,2716,50888147.0,Armenia,Electrical energy
ARM,2022,2716,94171478.0,Armenia,Electrical energy
ARM,2023,2716,70268780.9,Armenia,Electrical energy
AUT,2019,2716,1344035019.053,Austria,Electrical energy
AUT,2020,2716,1281414150.639,Austria,Electrical energy
AUT,2021,2716,1916106001.657,Austria,Electrical energy
AUT,2022,2716,4745662400.73,Austria,Electrical energy
AUT,2023,2716,4496953595.084,Austria,Electrical energy
AZE,2019,2716,76828191.64,Azerbaijan,Electrical energy
AZE,2020,2716,59802339.95,Azerbaijan,Electrical energy
AZE,2021,2716,71656682.73,Azerbaijan,Electrical energy
AZE,2022,2716,121598374.16,Azerbaijan,Electrical energy
AZE,2023,2716,402483175.15,Azerbaijan,Electrical energy
BEL,2019,2716,652660976.573,Belgium,Electrical energy
BEL,2020,2716,530065148.959,Belgium,Electrical energy
BEL,2021,2716,2766579785.954,Belgium,Electrical energy
BEL,2022,2716,6105277635.181,Belgium,Electrical energy
BEL,2023,2716,1991406712.373,Belgium,Electrical energy
BGR,2019,2716,499489870.855,Bulgaria,Electrical energy
BGR,2020,2716,275849687.517,Bulgaria,Electrical energy
BGR,2021,2716,816535305.708,Bulgaria,Electrical energy
BGR,2022,2716,1008388338.169,Bulgaria,Electrical energy
BGR,2023,2716,557929379.147,Bulgaria,Electrical energy
BIH,2019,2716,329295490.56,Bosnia Herzegovina,Electrical energy
BIH,2020,2716,288626549.07,Bosnia Herzegovina,Electrical energy
BIH,2021,2716,499674551.17,Bosnia Herzegovina,Electrical energy
BIH,2022,2716,588448891.24,Bosnia Herzegovina,Electrical energy
BIH,2023,2716,583834782.236,Bosnia Herzegovina,Electrical energy
BLR,2019,2716,123563400.0,Belarus,Electrical energy
BLR,2020,2716,34299400.0,Belarus,Electrical energy
BOL,2023,2716,5557575.51,Bolivia (Plurinational State of),Electrical energy
BRA,2020,2716,1950245.0,Brazil,Electrical energy
BRA,2021,2716,21644781.0,Brazil,Electrical energy
BRA,2022,2716,343874675.0,Brazil,Electrical energy
BRA,2023,2716,554427739.0,Brazil,Electrical energy
BWA,2022,2716,3116.719,Botswana,Electrical energy
BWA,2023,2716,1982.145,Botswana,Electrical energy
CAN,2019,2716,1893284493.92,Canada,Electrical energy
CAN,2020,2716,1911902531.447,Canada,Electrical energy
CAN,2021,2716,2640015393.972,Canada,Electrical energy
CAN,2022,2716,4430864353.386,Canada,Electrical energy
CAN,2023,2716,3153262739.557,Canada,Electrical energy
CHE,2019,2716,1816066647.29,Switzerland,Electrical energy
CHE,2020,2716,1557083350.834,Switzerland,Electrical energy
CHE,2021,2716,3896972550.252,Switzerland,Electrical energy
CHE,2022,2716,8817806773.454,Switzerland,Electrical energy
CHE,2023,2716,5204267762.077,Switzerland,Electrical energy
CHL,2023,2716,16566282.63,Chile,Electrical energy
CHN,2019,2716,1589269874.0,China,Electrical energy
CHN,2020,2716,1507951441.0,China,Electrical energy
CHN,2021,2716,1529874417.0,China,Electrical energy
CHN,2022,2716,1577454328.0,China,Electrical energy
CHN,2023,2716,1716292308.0,China,Electrical energy
CIV,2019,2716,114452989.653,Côte d'Ivoire,Electrical energy
CIV,2020,2716,134763498.31,Côte d'Ivoire,Electrical energy
