period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2007,SWE,Sweden,80,Tin; articles thereof,7604884.0
2008,SWE,Sweden,80,Tin; articles thereof,8148480.0
2009,SWE,Sweden,80,Tin; articles thereof,4317249.0
2010,SWE,Sweden,80,Tin; articles thereof,8529409.0
2011,SWE,Sweden,80,Tin; articles thereof,2985101.0
2012,SWE,Sweden,80,Tin; articles thereof,1271157.036
2007,SWZ,Eswatini,80,Tin; articles thereof,11777.0
2008,SWZ,Eswatini,80,Tin; articles thereof,229.506
2009,SWZ,Eswatini,80,Tin; articles thereof,123.913
2010,SWZ,Eswatini,80,Tin; articles thereof,757.563
2011,SWZ,Eswatini,80,Tin; articles thereof,10400.584
2012,SWZ,Eswatini,80,Tin; articles thereof,4002.08
2010,SYC,Seychelles,80,Tin; articles thereof,42003.764
2008,SYR,Syria,80,Tin; articles thereof,363580.0
2009,SYR,Syria,80,Tin; articles thereof,35704.0
2010,SYR,Syria,80,Tin; articles thereof,42455.0
2008,TCA,Turks and Caicos Isds,80,Tin; articles thereof,60.0
2007,THA,Thailand,80,Tin; articles thereof,310770306.0
2008,THA,Thailand,80,Tin; articles thereof,357051438.0
2009,THA,Thailand,80,Tin; articles thereof,245009920.0
2010,THA,Thailand,80,Tin; articles thereof,436759161.0
2011,THA,Thailand,80,Tin; articles thereof,569347942.0
2012,THA,Thailand,80,Tin; articles thereof,452506730.0
2008,TTO,Trinidad and Tobago,80,Tin; articles thereof,125.0
2009,TTO,Trinidad and Tobago,80,Tin; articles thereof,55.0
2010,TTO,Trinidad and Tobago,80,Tin; articles thereof,295.0
2011,TTO,Trinidad and Tobago,80,Tin; articles thereof,664.974
2012,TTO,Trinidad and Tobago,80,Tin; articles thereof,52.103
2007,TUN,Tunisia,80,Tin; articles thereof,3726463.0
2008,TUN,Tunisia,80,Tin; articles thereof,4853467.0
2009,TUN,Tunisia,80,Tin; articles thereof,3019185.0
2010,TUN,Tunisia,80,Tin; articles thereof,5514097.0
2011,TUN,Tunisia,80,Tin; articles thereof,7609974.0
2012,TUN,Tunisia,80,Tin; articles thereof,5716698.0
2007,TUR,Türkiye,80,Tin; articles thereof,3625847.0
2008,TUR,Türkiye,80,Tin; articles thereof,3409090.0
2009,TUR,Türkiye,80,Tin; articles thereof,520431.0
2010,TUR,Türkiye,80,Tin; articles thereof,2302409.0
2011,TUR,Türkiye,80,Tin; articles thereof,2162802.0
2012,TUR,Türkiye,80,Tin; articles thereof,1197971.0
2007,TZA,United Rep. of Tanzania,80,Tin; articles thereof,3472.0
2008,TZA,United Rep. of Tanzania,80,Tin; articles thereof,8832.0
2010,TZA,United Rep. of Tanzania,80,Tin; articles thereof,155436.0
2011,TZA,United Rep. of Tanzania,80,Tin; articles thereof,8229.0
2012,TZA,United Rep. of Tanzania,80,Tin; articles thereof,6566.0
2007,UGA,Uganda,80,Tin; articles thereof,4239.0
2008,UGA,Uganda,80,Tin; articles thereof,591.0
2009,UGA,Uganda,80,Tin; articles thereof,3542.0
2010,UGA,Uganda,80,Tin; articles thereof,147787.0
2011,UGA,Uganda,80,Tin; articles thereof,2244.0
2012,UGA,Uganda,80,Tin; articles thereof,707.0
2007,UKR,Ukraine,80,Tin; articles thereof,6431.0
2008,UKR,Ukraine,80,Tin; articles thereof,15080126.0
2009,UKR,Ukraine,80,Tin; articles thereof,75817.0
2010,UKR,Ukraine,80,Tin; articles thereof,124668.0
2011,UKR,Ukraine,80,Tin; articles thereof,587535.0
2012,UKR,Ukraine,80,Tin; articles thereof,119958.0
2007,URY,Uruguay,80,Tin; articles thereof,10500.0
2008,URY,Uruguay,80,Tin; articles thereof,21016.0
2009,URY,Uruguay,80,Tin; articles thereof,22.0
2010,URY,Uruguay,80,Tin; articles thereof,71213.0
2007,USA,USA,80,Tin; articles thereof,150955422.0
2008,USA,USA,80,Tin; articles thereof,209492641.0
2009,USA,USA,80,Tin; articles thereof,129003581.0
2010,USA,USA,80,Tin; articles thereof,222216705.0
2011,USA,USA,80,Tin; articles thereof,243649075.0
2012,USA,USA,80,Tin; articles thereof,197526915.0
2008,VEN,Venezuela,80,Tin; articles thereof,64.0
2007,VNM,Viet Nam,80,Tin; articles thereof,28868994.0
2008,VNM,Viet Nam,80,Tin; articles thereof,41764204.0
2009,VNM,Viet Nam,80,Tin; articles thereof,9276063.0
2010,VNM,Viet Nam,80,Tin; articles thereof,27993571.0
2011,VNM,Viet Nam,80,Tin; articles thereof,59295740.0
2012,VNM,Viet Nam,80,Tin; articles thereof,35188075.0
2007,WSM,Samoa,80,Tin; articles thereof,144.0
2008,WSM,Samoa,80,Tin; articles thereof,76.0
2009,WSM,Samoa,80,Tin; articles thereof,112.0
2011,WSM,Samoa,80,Tin; articles thereof,108.0
2007,YEM,Yemen,80,Tin; articles thereof,1357.0
2008,YEM,Yemen,80,Tin; articles thereof,3364.0
2009,YEM,Yemen,80,Tin; articles thereof,10710.0
2010,YEM,Yemen,80,Tin; articles thereof,4624.0
2011,YEM,Yemen,80,Tin; articles thereof,5576.0
2012,YEM,Yemen,80,Tin; articles thereof,11313.0
2007,ZAF,South Africa,80,Tin; articles thereof,894079.0
2008,ZAF,South Africa,80,Tin; articles thereof,1863471.0
2009,ZAF,South Africa,80,Tin; articles thereof,696173.0
2010,ZAF,South Africa,80,Tin; articles thereof,1143282.61
2011,ZAF,South Africa,80,Tin; articles thereof,1010840.723
2012,ZAF,South Africa,80,Tin; articles thereof,1216810.289
2007,ZMB,Zambia,80,Tin; articles thereof,130.0
2008,ZMB,Zambia,80,Tin; articles thereof,14506.762
2009,ZMB,Zambia,80,Tin; articles thereof,36.038
2010,ZMB,Zambia,80,Tin; articles thereof,4786.207
2011,ZMB,Zambia,80,Tin; articles thereof,15746.983
2012,ZMB,Zambia,80,Tin; articles thereof,18225.407
2007,ZWE,Zimbabwe,80,Tin; articles thereof,60420.26
2008,ZWE,Zimbabwe,80,Tin; articles thereof,1.45
2011,ZWE,Zimbabwe,80,Tin; articles thereof,6301.4
2012,ZWE,Zimbabwe,80,Tin; articles thereof,2677.18
