period,reporterISO,reporterDesc,total_exports_usd
2000,ABW,Aruba,172999090.0
2000,AIA,Anguilla,4001297.0
1996,ALB,Albania,211140400.0
1997,ALB,Albania,137681008.0
1998,ALB,Albania,207653802.0
1999,ALB,Albania,351097824.0
2000,ALB,Albania,261475781.0
1995,AND,Andorra,47803140.0
1996,AND,Andorra,46242984.0
1997,AND,Andorra,48000384.0
1998,AND,Andorra,57858896.0
1999,AND,Andorra,42680600.0
2000,AND,Andorra,45329043.0
1998,ANT,Netherlands Antilles (...2010),1169209856.0
1999,ARE,United Arab Emirates,26479226340.0
2000,ARE,United Arab Emirates,37719889281.0
1995,ARG,Argentina,20962574336.0
1996,ARG,Argentina,23809628160.0
1997,ARG,Argentina,26430820352.0
1998,ARG,Argentina,26433671168.0
1999,ARG,Argentina,23332660078.0
2000,ARG,Argentina,26341029193.0
1997,ARM,Armenia,215273552.0
1999,ARM,Armenia,231666237.0
2000,ARM,Armenia,294102939.0
1999,ATG,Antigua and Barbuda,14974068.0
2000,ATG,Antigua and Barbuda,22519698.0
1995,AUS,Australia,53000545492.0
1996,AUS,Australia,60206784511.0
1997,AUS,Australia,62816517159.0
1998,AUS,Australia,55808521696.0
1999,AUS,Australia,54534196028.0
2000,AUS,Australia,63766334251.0
1995,AUT,Austria,57582931968.0
1996,AUT,Austria,57830457344.0
1997,AUT,Austria,56713719808.0
1998,AUT,Austria,60856832000.0
1999,AUT,Austria,59271554655.0
2000,AUT,Austria,63674699062.0
1996,AZE,Azerbaijan,631244864.0
1997,AZE,Azerbaijan,781308992.0
1998,AZE,Azerbaijan,606149440.0
1999,AZE,Azerbaijan,929225537.0
2000,AZE,Azerbaijan,1745251936.0
1995,BDI,Burundi,178939376.0
1996,BDI,Burundi,81775776.0
1997,BDI,Burundi,68744928.0
1998,BDI,Burundi,86495760.0
1999,BDI,Burundi,62412896.0
2000,BDI,Burundi,42854751.0
1995,BEL,Belgium-Luxembourg (...1998),168153612288.0
1996,BEL,Belgium-Luxembourg (...1998),168343584768.0
1997,BEL,Belgium-Luxembourg (...1998),172699795456.0
1998,BEL,Belgium-Luxembourg (...1998),178615435264.0
1999,BEL,Belgium,178866828247.0
2000,BEL,Belgium,187838904743.0
1998,BEN,Benin,332872640.0
1999,BEN,Benin,225627216.0
2000,BEN,Benin,189795148.0
1995,BFA,Burkina Faso,170945472.0
1996,BFA,Burkina Faso,198571392.0
1997,BFA,Burkina Faso,224579392.0
1998,BFA,Burkina Faso,246703686.0
1999,BFA,Burkina Faso,236441245.0
2000,BFA,Burkina Faso,183912886.0
1995,BGD,Bangladesh,3407241163.0
1996,BGD,Bangladesh,3538509801.0
1997,BGD,Bangladesh,4017455594.0
1998,BGD,Bangladesh,5056914536.0
2000,BGD,Bangladesh,5493226431.0
1996,BGR,Bulgaria,4890187776.0
1997,BGR,Bulgaria,4939664384.0
1998,BGR,Bulgaria,4292926720.0
1999,BGR,Bulgaria,3924528950.0
2000,BGR,Bulgaria,4821843864.0
2000,BHR,Bahrain,6194679351.0
1997,BHS,Bahamas,181385696.0
1998,BHS,Bahamas,300320704.0
1999,BHS,Bahamas,426030400.0
2000,BHS,Bahamas,554884272.0
1998,BLR,Belarus,7069717504.0
1999,BLR,Belarus,5908927488.0
2000,BLR,Belarus,7331059000.0
1995,BLZ,Belize,161680154.0
1996,BLZ,Belize,167637247.0
1997,BLZ,Belize,176190657.0
1998,BLZ,Belize,162217536.0
1999,BLZ,Belize,140743376.0
2000,BLZ,Belize,200215099.0
1995,BMU,Bermuda,62929224.0
