period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2009,ABW,Aruba,72,Iron and steel,171345.0
2010,ABW,Aruba,72,Iron and steel,238504.0
2011,ABW,Aruba,72,Iron and steel,1698035.0
2012,ABW,Aruba,72,Iron and steel,2331134.0
2008,AGO,Angola,72,Iron and steel,3302172.181
2008,AIA,Anguilla,72,Iron and steel,189846.0
2007,ALB,Albania,72,Iron and steel,44982564.0
2008,ALB,Albania,72,Iron and steel,135856023.0
2009,ALB,Albania,72,Iron and steel,45920702.0
2010,ALB,Albania,72,Iron and steel,179934746.0
2011,ALB,Albania,72,Iron and steel,258575143.0
2012,ALB,Albania,72,Iron and steel,222447061.0
2007,AND,Andorra,72,Iron and steel,2441990.164
2008,AND,Andorra,72,Iron and steel,3121653.32
2009,AND,Andorra,72,Iron and steel,1553086.816
2010,AND,Andorra,72,Iron and steel,2112819.072
2011,AND,Andorra,72,Iron and steel,2438299.885
2012,AND,Andorra,72,Iron and steel,2095834.648
2007,ANT,Netherlands Antilles (...2010),72,Iron and steel,31545.0
2008,ANT,Netherlands Antilles (...2010),72,Iron and steel,25160.0
2007,ARE,United Arab Emirates,72,Iron and steel,549608049.0
2008,ARE,United Arab Emirates,72,Iron and steel,764046357.0
2009,ARE,United Arab Emirates,72,Iron and steel,665674647.0
2010,ARE,United Arab Emirates,72,Iron and steel,853889800.0
2011,ARE,United Arab Emirates,72,Iron and steel,1059402442.0
2012,ARE,United Arab Emirates,72,Iron and steel,1811898555.0
2007,ARG,Argentina,72,Iron and steel,548024320.0
2008,ARG,Argentina,72,Iron and steel,599907278.0
2009,ARG,Argentina,72,Iron and steel,513170357.0
2010,ARG,Argentina,72,Iron and steel,504490696.0
2011,ARG,Argentina,72,Iron and steel,516664524.0
2012,ARG,Argentina,72,Iron and steel,549306472.0
2007,ARM,Armenia,72,Iron and steel,243196852.0
2008,ARM,Armenia,72,Iron and steel,214465797.0
2009,ARM,Armenia,72,Iron and steel,93294073.0
2010,ARM,Armenia,72,Iron and steel,129817326.0
2011,ARM,Armenia,72,Iron and steel,134118018.0
2012,ARM,Armenia,72,Iron and steel,118976947.0
2007,ATG,Antigua and Barbuda,72,Iron and steel,1759686.0
2009,ATG,Antigua and Barbuda,72,Iron and steel,724670.0
2010,ATG,Antigua and Barbuda,72,Iron and steel,754988.0
2011,ATG,Antigua and Barbuda,72,Iron and steel,584446.0
2012,ATG,Antigua and Barbuda,72,Iron and steel,596411.0
2007,AUS,Australia,72,Iron and steel,1386100156.0
2008,AUS,Australia,72,Iron and steel,1882186268.0
2009,AUS,Australia,72,Iron and steel,1038941564.0
2010,AUS,Australia,72,Iron and steel,1732677207.0
2011,AUS,Australia,72,Iron and steel,1969826504.0
2012,AUS,Australia,72,Iron and steel,1491199164.0
2007,AUT,Austria,72,Iron and steel,7941564332.0
2008,AUT,Austria,72,Iron and steel,9734754971.0
2009,AUT,Austria,72,Iron and steel,5328334935.0
2010,AUT,Austria,72,Iron and steel,6539616725.0
2011,AUT,Austria,72,Iron and steel,8290460358.0
2012,AUT,Austria,72,Iron and steel,7222020778.252
2007,AZE,Azerbaijan,72,Iron and steel,44743933.0
2008,AZE,Azerbaijan,72,Iron and steel,49898533.0
2009,AZE,Azerbaijan,72,Iron and steel,20046372.0
2010,AZE,Azerbaijan,72,Iron and steel,76989769.0
2011,AZE,Azerbaijan,72,Iron and steel,94314443.0
2012,AZE,Azerbaijan,72,Iron and steel,58670819.0
2007,BDI,Burundi,72,Iron and steel,1410146.0
2008,BDI,Burundi,72,Iron and steel,1796903.0
2009,BDI,Burundi,72,Iron and steel,2105629.0
2010,BDI,Burundi,72,Iron and steel,2042085.969
2011,BDI,Burundi,72,Iron and steel,1886368.0
2012,BDI,Burundi,72,Iron and steel,1755823.0
2007,BEL,Belgium,72,Iron and steel,25731776336.0
2008,BEL,Belgium,72,Iron and steel,27533584399.0
2009,BEL,Belgium,72,Iron and steel,14595932792.0
2010,BEL,Belgium,72,Iron and steel,14841705939.927
