period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2022,ABW,Aruba,44,Wood and articles of wood; wood charcoal,16758541.663
2022,AGO,Angola,44,Wood and articles of wood; wood charcoal,28554369.291
2022,ALB,Albania,44,Wood and articles of wood; wood charcoal,120281462.189
2022,AND,Andorra,44,Wood and articles of wood; wood charcoal,18604726.189
2022,ARE,United Arab Emirates,44,Wood and articles of wood; wood charcoal,1171273139.924
2022,ARG,Argentina,44,Wood and articles of wood; wood charcoal,136934855.62
2022,ARM,Armenia,44,Wood and articles of wood; wood charcoal,86682901.42
2022,ATG,Antigua and Barbuda,44,Wood and articles of wood; wood charcoal,29498497.811
2022,AUS,Australia,44,Wood and articles of wood; wood charcoal,2849129209.32
2022,AUT,Austria,44,Wood and articles of wood; wood charcoal,3795567535.229
2022,AZE,Azerbaijan,44,Wood and articles of wood; wood charcoal,384602964.95
2022,BDI,Burundi,44,Wood and articles of wood; wood charcoal,2244709.118
2022,BEL,Belgium,44,Wood and articles of wood; wood charcoal,3647966039.015
2022,BEN,Benin,44,Wood and articles of wood; wood charcoal,8742654.592
2022,BFA,Burkina Faso,44,Wood and articles of wood; wood charcoal,10403401.972
2022,BGR,Bulgaria,44,Wood and articles of wood; wood charcoal,470118904.927
2022,BHR,Bahrain,44,Wood and articles of wood; wood charcoal,120829398.25
2022,BHS,Bahamas,44,Wood and articles of wood; wood charcoal,101867303.0
2022,BIH,Bosnia Herzegovina,44,Wood and articles of wood; wood charcoal,273919175.09
2022,BLZ,Belize,44,Wood and articles of wood; wood charcoal,18494072.365
2022,BMU,Bermuda,44,Wood and articles of wood; wood charcoal,12076662.54
2022,BOL,Bolivia (Plurinational State of),44,Wood and articles of wood; wood charcoal,44382550.0
2022,BRA,Brazil,44,Wood and articles of wood; wood charcoal,140148500.0
2022,BRB,Barbados,44,Wood and articles of wood; wood charcoal,44229056.5
2022,BRN,Brunei Darussalam,44,Wood and articles of wood; wood charcoal,8301598.223
2022,BTN,Bhutan,44,Wood and articles of wood; wood charcoal,54661143.711
2022,BWA,Botswana,44,Wood and articles of wood; wood charcoal,74283016.203
2022,CAF,Central African Rep.,44,Wood and articles of wood; wood charcoal,1191755.511
2022,CAN,Canada,44,Wood and articles of wood; wood charcoal,4018011462.961
2022,CHE,Switzerland,44,Wood and articles of wood; wood charcoal,2445121512.635
2022,CHL,Chile,44,Wood and articles of wood; wood charcoal,297898785.043
2022,CHN,China,44,Wood and articles of wood; wood charcoal,22188340733.0
2022,CIV,Côte d'Ivoire,44,Wood and articles of wood; wood charcoal,23455397.332
2022,CMR,Cameroon,44,Wood and articles of wood; wood charcoal,4020648.279
2022,COD,Dem. Rep. of the Congo,44,Wood and articles of wood; wood charcoal,6690797.978
2022,COG,Congo,44,Wood and articles of wood; wood charcoal,2104455.041
2022,COL,Colombia,44,Wood and articles of wood; wood charcoal,379995195.92
2022,COM,Comoros,44,Wood and articles of wood; wood charcoal,4481268.176
2022,CPV,Cabo Verde,44,Wood and articles of wood; wood charcoal,12833688.501
2022,CRI,Costa Rica,44,Wood and articles of wood; wood charcoal,135860194.81
2022,CUB,Cuba,44,Wood and articles of wood; wood charcoal,32762185.04
2022,CYM,Cayman Isds,44,Wood and articles of wood; wood charcoal,34087263.982
2022,CYP,Cyprus,44,Wood and articles of wood; wood charcoal,110810052.758
2022,CZE,Czechia,44,Wood and articles of wood; wood charcoal,1582435222.0
2022,DEU,Germany,44,Wood and articles of wood; wood charcoal,11966278804.522
2022,DJI,Djibouti,44,Wood and articles of wood; wood charcoal,14390252.206
2022,DMA,Dominica,44,Wood and articles of wood; wood charcoal,8594173.628
2022,DNK,Denmark,44,Wood and articles of wood; wood charcoal,2734302801.458
2022,DOM,Dominican Rep.,44,Wood and articles of wood; wood charcoal,320301563.596
2022,ECU,Ecuador,44,Wood and articles of wood; wood charcoal,67020339.2
2022,EGY,Egypt,44,Wood and articles of wood; wood charcoal,1709708038.966
2022,ESP,Spain,44,Wood and articles of wood; wood charcoal,2335035740.918
2022,EST,Estonia,44,Wood and articles of wood; wood charcoal,1076791128.52
2022,ETH,Ethiopia,44,Wood and articles of wood; wood charcoal,51011587.951
2022,FIN,Finland,44,Wood and articles of wood; wood charcoal,1056774834.153
2022,FJI,Fiji,44,Wood and articles of wood; wood charcoal,16078159.18
2022,FRA,France,44,Wood and articles of wood; wood charcoal,7238280624.693
2022,GAB,Gabon,44,Wood and articles of wood; wood charcoal,7107070.793
2022,GBR,United Kingdom,44,Wood and articles of wood; wood charcoal,9397188748.476
2022,GEO,Georgia,44,Wood and articles of wood; wood charcoal,185835399.388
2022,GHA,Ghana,44,Wood and articles of wood; wood charcoal,36058757.407
2022,GMB,Gambia,44,Wood and articles of wood; wood charcoal,6832280.449
2022,GRC,Greece,44,Wood and articles of wood; wood charcoal,626274749.794
2022,GRD,Grenada,44,Wood and articles of wood; wood charcoal,19911795.906
2022,GTM,Guatemala,44,Wood and articles of wood; wood charcoal,159147437.0
2022,GUY,Guyana,44,Wood and articles of wood; wood charcoal,12137845.954
2022,HKG,"China, Hong Kong SAR",44,Wood and articles of wood; wood charcoal,359637817.163
2022,HRV,Croatia,44,Wood and articles of wood; wood charcoal,594281012.0
2022,HUN,Hungary,44,Wood and articles of wood; wood charcoal,1225174103.0
2022,IDN,Indonesia,44,Wood and articles of wood; wood charcoal,552506288.0
2022,IND,India,44,Wood and articles of wood; wood charcoal,2260194747.522
2022,IRL,Ireland,44,Wood and articles of wood; wood charcoal,850969913.161
2022,IRN,Iran,44,Wood and articles of wood; wood charcoal,503341769.0
2022,ISL,Iceland,44,Wood and articles of wood; wood charcoal,190729863.003
2022,ISR,Israel,44,Wood and articles of wood; wood charcoal,1012656000.0
2022,ITA,Italy,44,Wood and articles of wood; wood charcoal,7613186451.09
2022,JAM,Jamaica,44,Wood and articles of wood; wood charcoal,123823339.47
2022,JOR,Jordan,44,Wood and articles of wood; wood charcoal,227689175.387
