period,reporterISO,reporterDesc,total_exports_usd
2007,ABW,Aruba,97892753.0
2008,ABW,Aruba,100869319.0
2009,ABW,Aruba,135747078.0
2010,ABW,Aruba,124523218.0
2011,ABW,Aruba,151359633.0
2012,ABW,Aruba,173060835.0
2008,AFG,Afghanistan,540065594.0
2009,AFG,Afghanistan,403441006.0
2010,AFG,Afghanistan,388483635.0
2011,AFG,Afghanistan,375850935.0
2012,AFG,Afghanistan,428902710.0
2007,AGO,Angola,44177783071.0
2008,AGO,Angola,65772699298.792
2009,AGO,Angola,40639411732.0
2010,AGO,Angola,52612114761.0
2011,AGO,Angola,66427390220.0
2012,AGO,Angola,70863076413.0
2007,AIA,Anguilla,9185300.0
2008,AIA,Anguilla,11474540.0
2007,ALB,Albania,1077690359.0
2008,ALB,Albania,1354921653.0
2009,ALB,Albania,1087914902.0
2010,ALB,Albania,1549955724.0
2011,ALB,Albania,1948207305.0
2012,ALB,Albania,1967918947.0
2007,AND,Andorra,150846156.687
2008,AND,Andorra,139099612.128
2009,AND,Andorra,100478001.174
2010,AND,Andorra,92319047.439
2011,AND,Andorra,114022712.151
2012,AND,Andorra,105977644.763
2007,ANT,Netherlands Antilles (...2010),116110301.0
2008,ANT,Netherlands Antilles (...2010),146230267.0
2007,ARE,United Arab Emirates,156634000000.0
2008,ARE,United Arab Emirates,210000000000.0
2009,ARE,United Arab Emirates,174725000000.0
2010,ARE,United Arab Emirates,198362000000.0
2011,ARE,United Arab Emirates,252556000000.0
2012,ARE,United Arab Emirates,350123000000.0
2007,ARG,Argentina,55779579836.0
2008,ARG,Argentina,70018850811.0
2009,ARG,Argentina,55672118600.0
2010,ARG,Argentina,68174446579.0
2011,ARG,Argentina,82981091282.0
2012,ARG,Argentina,79982379582.0
2007,ARM,Armenia,1121222464.0
2008,ARM,Armenia,1055012744.0
2009,ARM,Armenia,683989374.0
2010,ARM,Armenia,1011424747.0
2011,ARM,Armenia,1320411381.0
2012,ARM,Armenia,1428120692.0
2007,ATG,Antigua and Barbuda,98628077.0
2009,ATG,Antigua and Barbuda,205701562.0
2010,ATG,Antigua and Barbuda,34828290.0
2011,ATG,Antigua and Barbuda,29028024.0
2012,ATG,Antigua and Barbuda,29006273.0
2007,AUS,Australia,141181512401.0
2008,AUS,Australia,186853013588.0
2009,AUS,Australia,153899575950.0
2010,AUS,Australia,212108726296.0
2011,AUS,Australia,269423385464.0
2012,AUS,Australia,256242912988.0
2007,AUT,Austria,156588406562.0
2008,AUT,Austria,172227951752.0
2009,AUT,Austria,131387248005.0
2010,AUT,Austria,144882002012.0
2011,AUT,Austria,169511432541.0
2012,AUT,Austria,158820719332.351
2007,AZE,Azerbaijan,6058319100.0
2008,AZE,Azerbaijan,47756229362.0
2009,AZE,Azerbaijan,14688727691.0
2010,AZE,Azerbaijan,21278419980.0
2011,AZE,Azerbaijan,26480188838.0
2012,AZE,Azerbaijan,23827186078.0
2007,BDI,Burundi,156195390.0
2008,BDI,Burundi,141785754.0
2009,BDI,Burundi,112931709.0
2010,BDI,Burundi,118156461.519
2011,BDI,Burundi,197835657.0
2012,BDI,Burundi,242699757.0
2007,BEL,Belgium,431743842738.0
2008,BEL,Belgium,471797820094.0
2009,BEL,Belgium,370879193628.0
2010,BEL,Belgium,274724245144.588
2011,BEL,Belgium,327589023656.764
2012,BEL,Belgium,305138320815.614
2007,BEN,Benin,274387393.0
2008,BEN,Benin,421063805.0
2009,BEN,Benin,425347736.0
2010,BEN,Benin,533902342.0
2011,BEN,Benin,388592197.0
2012,BEN,Benin,460338227.0
2007,BFA,Burkina Faso,559518767.96
2008,BFA,Burkina Faso,592667902.591
2009,BFA,Burkina Faso,983301741.176
2010,BFA,Burkina Faso,1357916723.664
2011,BFA,Burkina Faso,2426984396.326
2012,BFA,Burkina Faso,2269841056.076
2007,BGD,Bangladesh,13142952925.0
2008,BGD,Bangladesh,15506719178.0
