period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2007,ABW,Aruba,44,Wood and articles of wood; wood charcoal,326915.0
2008,ABW,Aruba,44,Wood and articles of wood; wood charcoal,74029.0
2009,ABW,Aruba,44,Wood and articles of wood; wood charcoal,76294.0
2010,ABW,Aruba,44,Wood and articles of wood; wood charcoal,10404.0
2011,ABW,Aruba,44,Wood and articles of wood; wood charcoal,19213.0
2012,ABW,Aruba,44,Wood and articles of wood; wood charcoal,173608.0
2007,AGO,Angola,44,Wood and articles of wood; wood charcoal,331253.0
2008,AGO,Angola,44,Wood and articles of wood; wood charcoal,962363.913
2009,AGO,Angola,44,Wood and articles of wood; wood charcoal,188908.0
2010,AGO,Angola,44,Wood and articles of wood; wood charcoal,199519.0
2007,AIA,Anguilla,44,Wood and articles of wood; wood charcoal,34787.0
2008,AIA,Anguilla,44,Wood and articles of wood; wood charcoal,13225.0
2007,ALB,Albania,44,Wood and articles of wood; wood charcoal,13448211.0
2008,ALB,Albania,44,Wood and articles of wood; wood charcoal,14707929.0
2009,ALB,Albania,44,Wood and articles of wood; wood charcoal,13444732.0
2010,ALB,Albania,44,Wood and articles of wood; wood charcoal,15248339.0
2011,ALB,Albania,44,Wood and articles of wood; wood charcoal,16606301.0
2012,ALB,Albania,44,Wood and articles of wood; wood charcoal,16840340.0
2007,AND,Andorra,44,Wood and articles of wood; wood charcoal,3935808.546
2008,AND,Andorra,44,Wood and articles of wood; wood charcoal,3634338.815
2009,AND,Andorra,44,Wood and articles of wood; wood charcoal,1193458.776
2010,AND,Andorra,44,Wood and articles of wood; wood charcoal,1186996.507
2011,AND,Andorra,44,Wood and articles of wood; wood charcoal,1095189.311
2012,AND,Andorra,44,Wood and articles of wood; wood charcoal,1032891.117
2007,ANT,Netherlands Antilles (...2010),44,Wood and articles of wood; wood charcoal,282300.0
2008,ANT,Netherlands Antilles (...2010),44,Wood and articles of wood; wood charcoal,313353.0
2007,ARE,United Arab Emirates,44,Wood and articles of wood; wood charcoal,239970367.0
2008,ARE,United Arab Emirates,44,Wood and articles of wood; wood charcoal,266131709.0
2009,ARE,United Arab Emirates,44,Wood and articles of wood; wood charcoal,165086045.0
2010,ARE,United Arab Emirates,44,Wood and articles of wood; wood charcoal,174069750.0
2011,ARE,United Arab Emirates,44,Wood and articles of wood; wood charcoal,201624136.0
2012,ARE,United Arab Emirates,44,Wood and articles of wood; wood charcoal,270810622.0
2007,ARG,Argentina,44,Wood and articles of wood; wood charcoal,311001027.0
2008,ARG,Argentina,44,Wood and articles of wood; wood charcoal,307856673.0
2009,ARG,Argentina,44,Wood and articles of wood; wood charcoal,244097517.0
2010,ARG,Argentina,44,Wood and articles of wood; wood charcoal,274811923.0
2011,ARG,Argentina,44,Wood and articles of wood; wood charcoal,261317359.0
2012,ARG,Argentina,44,Wood and articles of wood; wood charcoal,187228926.0
2007,ARM,Armenia,44,Wood and articles of wood; wood charcoal,561258.0
2008,ARM,Armenia,44,Wood and articles of wood; wood charcoal,495297.0
2009,ARM,Armenia,44,Wood and articles of wood; wood charcoal,283810.0
2010,ARM,Armenia,44,Wood and articles of wood; wood charcoal,693861.0
2011,ARM,Armenia,44,Wood and articles of wood; wood charcoal,623587.0
2012,ARM,Armenia,44,Wood and articles of wood; wood charcoal,772514.0
2007,ATG,Antigua and Barbuda,44,Wood and articles of wood; wood charcoal,307483.0
2009,ATG,Antigua and Barbuda,44,Wood and articles of wood; wood charcoal,423554.0
2010,ATG,Antigua and Barbuda,44,Wood and articles of wood; wood charcoal,112621.0
2011,ATG,Antigua and Barbuda,44,Wood and articles of wood; wood charcoal,12222.0
2012,ATG,Antigua and Barbuda,44,Wood and articles of wood; wood charcoal,63337.0
2007,AUS,Australia,44,Wood and articles of wood; wood charcoal,1191177007.0
2008,AUS,Australia,44,Wood and articles of wood; wood charcoal,1293899126.0
2009,AUS,Australia,44,Wood and articles of wood; wood charcoal,977135931.0
2010,AUS,Australia,44,Wood and articles of wood; wood charcoal,1256862730.0
2011,AUS,Australia,44,Wood and articles of wood; wood charcoal,1246017812.0
2012,AUS,Australia,44,Wood and articles of wood; wood charcoal,1019460467.0
2007,AUT,Austria,44,Wood and articles of wood; wood charcoal,5837786757.0
2008,AUT,Austria,44,Wood and articles of wood; wood charcoal,5670409813.0
