reporterISO,period,cmdCode,primaryValue,reporterDesc,cmdDesc
ABW,2021,2701,7324.581,Aruba,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AGO,2021,2701,3040371.027,Angola,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AND,2021,2701,666.409,Andorra,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARE,2021,2701,421253738.467,United Arab Emirates,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARG,2021,2701,323632391.83,Argentina,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARM,2021,2701,1805758.02,Armenia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ATG,2021,2701,2572.222,Antigua and Barbuda,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AUS,2021,2701,25004183.483,Australia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AUT,2021,2701,505904528.84,Austria,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AZE,2021,2701,3549072.1,Azerbaijan,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BDI,2021,2701,1078310.03,Burundi,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BEL,2021,2701,571210881.689,Belgium,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BEN,2021,2701,20749859.546,Benin,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BFA,2021,2701,8960.65,Burkina Faso,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BGR,2021,2701,110835936.922,Bulgaria,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BHR,2021,2701,10197974.597,Bahrain,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BHS,2021,2701,423299.0,Bahamas,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BIH,2021,2701,281233537.19,Bosnia Herzegovina,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BLZ,2021,2701,20369.76,Belize,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BMU,2021,2701,8839.79,Bermuda,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BOL,2021,2701,1428155.73,Bolivia (Plurinational State of),"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BRA,2021,2701,3172069617.0,Brazil,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BRB,2021,2701,77872.0,Barbados,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BRN,2021,2701,138762462.17,Brunei Darussalam,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
BWA,2021,2701,442840.688,Botswana,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CAN,2021,2701,607794811.842,Canada,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHE,2021,2701,7084263.723,Switzerland,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHL,2021,2701,1331776168.148,Chile,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CHN,2021,2701,27139336965.0,China,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CIV,2021,2701,4129.657,Côte d'Ivoire,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
CMR,2021,2701,349593.53,Cameroon,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
COD,2021,2701,59315954.481,Dem. Rep. of the Congo,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
COG,2021,2701,1597162.97,Congo,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
COL,2021,2701,234873.8,Colombia,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
