period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2004,AGO,Angola,26,"Ores, slag and ash",100.621
2005,AGO,Angola,26,"Ores, slag and ash",2110.434
2006,AGO,Angola,26,"Ores, slag and ash",99.759
2001,ALB,Albania,26,"Ores, slag and ash",850871.0
2002,ALB,Albania,26,"Ores, slag and ash",1555247.0
2003,ALB,Albania,26,"Ores, slag and ash",5638130.0
2004,ALB,Albania,26,"Ores, slag and ash",5900229.0
2005,ALB,Albania,26,"Ores, slag and ash",12885645.0
2006,ALB,Albania,26,"Ores, slag and ash",22162854.0
2002,AND,Andorra,26,"Ores, slag and ash",57.0
2005,AND,Andorra,26,"Ores, slag and ash",404.0
2006,AND,Andorra,26,"Ores, slag and ash",887.019
2005,ANT,Netherlands Antilles (...2010),26,"Ores, slag and ash",12.0
2006,ANT,Netherlands Antilles (...2010),26,"Ores, slag and ash",5.0
2001,ARE,United Arab Emirates,26,"Ores, slag and ash",3823302.0
2002,ARE,United Arab Emirates,26,"Ores, slag and ash",4327808.0
2003,ARE,United Arab Emirates,26,"Ores, slag and ash",3605753.0
2004,ARE,United Arab Emirates,26,"Ores, slag and ash",4645311.0
2005,ARE,United Arab Emirates,26,"Ores, slag and ash",7685704.0
2006,ARE,United Arab Emirates,26,"Ores, slag and ash",15679727.0
2001,ARG,Argentina,26,"Ores, slag and ash",407475030.0
2002,ARG,Argentina,26,"Ores, slag and ash",562980729.0
2003,ARG,Argentina,26,"Ores, slag and ash",470365908.0
2004,ARG,Argentina,26,"Ores, slag and ash",914095650.0
2005,ARG,Argentina,26,"Ores, slag and ash",777700876.0
2006,ARG,Argentina,26,"Ores, slag and ash",1373150746.0
2001,ARM,Armenia,26,"Ores, slag and ash",20492465.0
2002,ARM,Armenia,26,"Ores, slag and ash",28242044.0
2003,ARM,Armenia,26,"Ores, slag and ash",38051172.0
2004,ARM,Armenia,26,"Ores, slag and ash",72824913.0
2005,ARM,Armenia,26,"Ores, slag and ash",45346110.0
2006,ARM,Armenia,26,"Ores, slag and ash",93478748.0
2001,AUS,Australia,26,"Ores, slag and ash",5132593642.0
2002,AUS,Australia,26,"Ores, slag and ash",5209683788.0
2003,AUS,Australia,26,"Ores, slag and ash",6287320541.0
2004,AUS,Australia,26,"Ores, slag and ash",8377894366.0
2005,AUS,Australia,26,"Ores, slag and ash",13961088445.0
2006,AUS,Australia,26,"Ores, slag and ash",18985493669.0
2001,AUT,Austria,26,"Ores, slag and ash",14829653.0
2002,AUT,Austria,26,"Ores, slag and ash",19186040.0
2003,AUT,Austria,26,"Ores, slag and ash",22938608.0
2004,AUT,Austria,26,"Ores, slag and ash",36322439.0
2005,AUT,Austria,26,"Ores, slag and ash",29572004.0
2006,AUT,Austria,26,"Ores, slag and ash",32264731.0
2001,AZE,Azerbaijan,26,"Ores, slag and ash",3421480.0
2002,AZE,Azerbaijan,26,"Ores, slag and ash",2610.0
2003,AZE,Azerbaijan,26,"Ores, slag and ash",14399.0
2004,AZE,Azerbaijan,26,"Ores, slag and ash",48714.0
2005,AZE,Azerbaijan,26,"Ores, slag and ash",500.0
2006,AZE,Azerbaijan,26,"Ores, slag and ash",3100.0
2001,BDI,Burundi,26,"Ores, slag and ash",3688999.0
2002,BDI,Burundi,26,"Ores, slag and ash",790546.0
2003,BDI,Burundi,26,"Ores, slag and ash",370376.0
2004,BDI,Burundi,26,"Ores, slag and ash",459528.0
2005,BDI,Burundi,26,"Ores, slag and ash",986731.0
2006,BDI,Burundi,26,"Ores, slag and ash",2847704.0
2001,BEL,Belgium,26,"Ores, slag and ash",241089468.0
2002,BEL,Belgium,26,"Ores, slag and ash",238470770.0
2003,BEL,Belgium,26,"Ores, slag and ash",353442037.0
2004,BEL,Belgium,26,"Ores, slag and ash",771892436.0
2005,BEL,Belgium,26,"Ores, slag and ash",1049252656.0
2006,BEL,Belgium,26,"Ores, slag and ash",1556070987.0
2003,BFA,Burkina Faso,26,"Ores, slag and ash",1042.0
2004,BFA,Burkina Faso,26,"Ores, slag and ash",8338.0
2005,BFA,Burkina Faso,26,"Ores, slag and ash",7129.833
2006,BFA,Burkina Faso,26,"Ores, slag and ash",1252.648
2004,BGD,Bangladesh,26,"Ores, slag and ash",39304.0
2005,BGD,Bangladesh,26,"Ores, slag and ash",116591.0
2006,BGD,Bangladesh,26,"Ores, slag and ash",120863.0
2001,BGR,Bulgaria,26,"Ores, slag and ash",29627603.0
2002,BGR,Bulgaria,26,"Ores, slag and ash",24273236.0
2003,BGR,Bulgaria,26,"Ores, slag and ash",23991288.0
2004,BGR,Bulgaria,26,"Ores, slag and ash",34967069.0
2005,BGR,Bulgaria,26,"Ores, slag and ash",79850928.0
2006,BGR,Bulgaria,26,"Ores, slag and ash",259065455.0
2001,BHR,Bahrain,26,"Ores, slag and ash",240313126.0
2002,BHR,Bahrain,26,"Ores, slag and ash",198219388.0
2003,BHR,Bahrain,26,"Ores, slag and ash",241960609.0
2004,BHR,Bahrain,26,"Ores, slag and ash",198795238.0
2005,BHR,Bahrain,26,"Ores, slag and ash",190085614.0
2006,BHR,Bahrain,26,"Ores, slag and ash",142941544.0
2002,BHS,Bahamas,26,"Ores, slag and ash",16.0
2003,BHS,Bahamas,26,"Ores, slag and ash",2900.0
2003,BIH,Bosnia Herzegovina,26,"Ores, slag and ash",1256175.0
2004,BIH,Bosnia Herzegovina,26,"Ores, slag and ash",6173200.0
2005,BIH,Bosnia Herzegovina,26,"Ores, slag and ash",77620337.0
2006,BIH,Bosnia Herzegovina,26,"Ores, slag and ash",85630915.0
2001,BLR,Belarus,26,"Ores, slag and ash",302800.0
