reporterISO,period,cmdCode,primaryValue,reporterDesc,cmdDesc
ALB,2013,2716,107152737.0,Albania,Electrical energy
ALB,2015,2716,101009843.0,Albania,Electrical energy
ALB,2016,2716,59637193.0,Albania,Electrical energy
ALB,2017,2716,70616917.97,Albania,Electrical energy
ALB,2018,2716,59979596.599,Albania,Electrical energy
AND,2013,2716,39913110.677,Andorra,Electrical energy
AND,2014,2716,32111351.414,Andorra,Electrical energy
AND,2015,2716,33571435.686,Andorra,Electrical energy
AND,2016,2716,25894463.254,Andorra,Electrical energy
AND,2017,2716,33443657.27,Andorra,Electrical energy
AND,2018,2716,28118493.274,Andorra,Electrical energy
ARE,2013,2716,101018.896,United Arab Emirates,Electrical energy
ARE,2014,2716,476560.518,United Arab Emirates,Electrical energy
ARE,2015,2716,257517.149,United Arab Emirates,Electrical energy
ARE,2016,2716,18142.132,United Arab Emirates,Electrical energy
ARE,2017,2716,995838.518,United Arab Emirates,Electrical energy
ARE,2018,2716,2951.736,United Arab Emirates,Electrical energy
ARG,2013,2716,362454030.0,Argentina,Electrical energy
ARG,2014,2716,432950878.0,Argentina,Electrical energy
ARG,2015,2716,326695512.0,Argentina,Electrical energy
ARG,2016,2716,438680113.0,Argentina,Electrical energy
ARG,2017,2716,383665326.49,Argentina,Electrical energy
ARG,2018,2716,384864082.75,Argentina,Electrical energy
ARM,2013,2716,4309484.0,Armenia,Electrical energy
ARM,2014,2716,9512630.0,Armenia,Electrical energy
ARM,2015,2716,7685431.0,Armenia,Electrical energy
ARM,2016,2716,12587723.0,Armenia,Electrical energy
ARM,2017,2716,14329122.0,Armenia,Electrical energy
ARM,2018,2716,8383543.0,Armenia,Electrical energy
ATG,2018,2716,60.767,Antigua and Barbuda,Electrical energy
AUT,2013,2716,1427363883.003,Austria,Electrical energy
AUT,2014,2716,1358504328.266,Austria,Electrical energy
AUT,2015,2716,1222918802.694,Austria,Electrical energy
AUT,2016,2716,1007020055.358,Austria,Electrical energy
AUT,2017,2716,1213221980.417,Austria,Electrical energy
AUT,2018,2716,1351344845.142,Austria,Electrical energy
AZE,2013,2716,7724751.0,Azerbaijan,Electrical energy
AZE,2014,2716,6532999.0,Azerbaijan,Electrical energy
AZE,2015,2716,5117685.34,Azerbaijan,Electrical energy
AZE,2016,2716,4221564.77,Azerbaijan,Electrical energy
AZE,2017,2716,4224856.04,Azerbaijan,Electrical energy
AZE,2018,2716,5269999.32,Azerbaijan,Electrical energy
BDI,2015,2716,190.0,Burundi,Electrical energy
BEL,2013,2716,1050149351.776,Belgium,Electrical energy
BEL,2014,2716,1078444067.998,Belgium,Electrical energy
BEL,2015,2716,1052309453.55,Belgium,Electrical energy
BEL,2016,2716,537958400.358,Belgium,Electrical energy
BEL,2017,2716,647272590.657,Belgium,Electrical energy
BEL,2018,2716,1359319778.236,Belgium,Electrical energy
BEN,2013,2716,136769293.0,Benin,Electrical energy
BEN,2014,2716,137642767.0,Benin,Electrical energy
BEN,2015,2716,120601787.124,Benin,Electrical energy
BEN,2016,2716,93673970.226,Benin,Electrical energy
BEN,2017,2716,121579213.941,Benin,Electrical energy
BEN,2018,2716,142632182.263,Benin,Electrical energy
BFA,2017,2716,54530486.368,Burkina Faso,Electrical energy
BFA,2018,2716,89221483.098,Burkina Faso,Electrical energy
BGD,2018,2716,259.171,Bangladesh,Electrical energy
BGR,2013,2716,111692036.0,Bulgaria,Electrical energy
BGR,2014,2716,95434303.0,Bulgaria,Electrical energy
BGR,2015,2716,126961130.0,Bulgaria,Electrical energy
BGR,2016,2716,196696199.385,Bulgaria,Electrical energy
BGR,2017,2716,291351318.425,Bulgaria,Electrical energy
BGR,2018,2716,155550875.283,Bulgaria,Electrical energy
BHR,2013,2716,9597.0,Bahrain,Electrical energy
BHR,2014,2716,10601.0,Bahrain,Electrical energy
BHR,2017,2716,1718.481,Bahrain,Electrical energy
BHR,2018,2716,1701.354,Bahrain,Electrical energy
BHS,2015,2716,131.0,Bahamas,Electrical energy
BHS,2018,2716,1598.99,Bahamas,Electrical energy
BIH,2013,2716,81792688.0,Bosnia Herzegovina,Electrical energy
BIH,2014,2716,60493710.0,Bosnia Herzegovina,Electrical energy
BIH,2015,2716,60353331.0,Bosnia Herzegovina,Electrical energy
BIH,2016,2716,65308243.0,Bosnia Herzegovina,Electrical energy
BIH,2017,2716,182657435.84,Bosnia Herzegovina,Electrical energy
BIH,2018,2716,107192130.18,Bosnia Herzegovina,Electrical energy
BLR,2013,2716,403605300.0,Belarus,Electrical energy
BLR,2014,2716,225133700.0,Belarus,Electrical energy
BLR,2015,2716,123493500.0,Belarus,Electrical energy
BLR,2016,2716,134871100.0,Belarus,Electrical energy
BLR,2017,2716,129696500.0,Belarus,Electrical energy
BLR,2018,2716,2182400.0,Belarus,Electrical energy
BRA,2013,2716,1855245444.0,Brazil,Electrical energy
BRA,2014,2716,1721081084.0,Brazil,Electrical energy
BRA,2015,2716,1692995667.0,Brazil,Electrical energy
BRA,2016,2716,1772762760.0,Brazil,Electrical energy
BRA,2017,2716,1798723682.0,Brazil,Electrical energy
BRA,2018,2716,1783958228.0,Brazil,Electrical energy
BTN,2018,2716,38.827,Bhutan,Electrical energy
BWA,2013,2716,239955431.439,Botswana,Electrical energy
BWA,2014,2716,149155661.536,Botswana,Electrical energy
BWA,2015,2716,103105678.001,Botswana,Electrical energy
BWA,2016,2716,141223251.0,Botswana,Electrical energy
BWA,2017,2716,38540757.452,Botswana,Electrical energy
BWA,2018,2716,3151.461,Botswana,Electrical energy
CAN,2013,2716,356582762.0,Canada,Electrical energy
CAN,2014,2716,562455931.0,Canada,Electrical energy
CAN,2015,2716,239675750.358,Canada,Electrical energy
CAN,2016,2716,193707562.144,Canada,Electrical energy
CAN,2017,2716,185537154.663,Canada,Electrical energy
CAN,2018,2716,393541233.967,Canada,Electrical energy
CHE,2013,2716,2220490436.877,Switzerland,Electrical energy
CHE,2014,2716,1999862545.569,Switzerland,Electrical energy
CHE,2015,2716,1842382085.275,Switzerland,Electrical energy
CHE,2016,2716,1553113329.601,Switzerland,Electrical energy
CHE,2017,2716,1728287466.802,Switzerland,Electrical energy
CHE,2018,2716,1857625706.767,Switzerland,Electrical energy
CHL,2015,2716,370.9,Chile,Electrical energy
CHN,2013,2716,395235008.0,China,Electrical energy
CHN,2014,2716,337405480.0,China,Electrical energy
CHN,2015,2716,336621944.0,China,Electrical energy
CHN,2016,2716,319770058.0,China,Electrical energy
CHN,2017,2716,310311669.0,China,Electrical energy
CHN,2018,2716,254553701.0,China,Electrical energy
CIV,2013,2716,992.272,Côte d'Ivoire,Electrical energy
CIV,2015,2716,51.921,Côte d'Ivoire,Electrical energy
CIV,2016,2716,705270.258,Côte d'Ivoire,Electrical energy
CIV,2017,2716,1549.36,Côte d'Ivoire,Electrical energy
CIV,2018,2716,4155.643,Côte d'Ivoire,Electrical energy
COD,2018,2716,15477096.904,Dem. Rep. of the Congo,Electrical energy
COG,2013,2716,658.0,Congo,Electrical energy
COG,2016,2716,963.212,Congo,Electrical energy
COL,2013,2716,1115355.0,Colombia,Electrical energy
COL,2014,2716,1946287.0,Colombia,Electrical energy
COL,2015,2716,1747428.0,Colombia,Electrical energy
COL,2016,2716,37883165.0,Colombia,Electrical energy
COL,2017,2716,1945172.57,Colombia,Electrical energy
COL,2018,2716,4525311.28,Colombia,Electrical energy
CUW,2018,2716,502.792,Curaçao,Electrical energy
CZE,2013,2716,892294616.0,Czechia,Electrical energy
CZE,2014,2716,858806453.0,Czechia,Electrical energy
CZE,2015,2716,1073095159.0,Czechia,Electrical energy
CZE,2016,2716,780621364.0,Czechia,Electrical energy
CZE,2017,2716,848012069.0,Czechia,Electrical energy
CZE,2018,2716,1252850896.0,Czechia,Electrical energy
DEU,2013,2716,2409008866.563,Germany,Electrical energy
DEU,2014,2716,2268920108.298,Germany,Electrical energy
DEU,2015,2716,1674574963.214,Germany,Electrical energy
DEU,2016,2716,1121448678.909,Germany,Electrical energy
DEU,2017,2716,1166506649.779,Germany,Electrical energy
DEU,2018,2716,1575890396.871,Germany,Electrical energy
DNK,2013,2716,496709290.0,Denmark,Electrical energy
DNK,2014,2716,436971185.0,Denmark,Electrical energy
