period,reporterISO,reporterDesc,total_exports_usd
2001,ABW,Aruba,148856140.0
2002,ABW,Aruba,128258862.0
2003,ABW,Aruba,82190500.0
2004,ABW,Aruba,79682025.0
2005,ABW,Aruba,106204900.0
2006,ABW,Aruba,108964805.0
2004,AGO,Angola,13253676784.371
2005,AGO,Angola,23668205179.913
2006,AGO,Angola,31844185776.488
2001,AIA,Anguilla,3200931.0
2002,AIA,Anguilla,4344499.0
2003,AIA,Anguilla,4238995.0
2004,AIA,Anguilla,5748088.0
2006,AIA,Anguilla,12237708.0
2001,ALB,Albania,304930699.0
2002,ALB,Albania,330241497.0
2003,ALB,Albania,447220546.0
2004,ALB,Albania,602653356.0
2005,ALB,Albania,658233171.0
2006,ALB,Albania,792629671.0
2001,AND,Andorra,52421237.0
2002,AND,Andorra,63752333.0
2003,AND,Andorra,90155985.0
2004,AND,Andorra,123209544.0
2005,AND,Andorra,142737553.0
2006,AND,Andorra,165379939.94
2005,ANT,Netherlands Antilles (...2010),90936919.0
2006,ANT,Netherlands Antilles (...2010),129272000.0
2001,ARE,United Arab Emirates,32669157299.0
2002,ARE,United Arab Emirates,52163400000.0
2003,ARE,United Arab Emirates,67135000000.0
2004,ARE,United Arab Emirates,90638000000.0
2005,ARE,United Arab Emirates,115452993193.0
2006,ARE,United Arab Emirates,142505000000.0
2001,ARG,Argentina,26610055335.0
2002,ARG,Argentina,25709371110.0
2003,ARG,Argentina,29938752000.0
2004,ARG,Argentina,34575705522.0
2005,ARG,Argentina,40106386092.0
2006,ARG,Argentina,46546224081.0
2001,ARM,Armenia,335831375.0
2002,ARM,Armenia,527203711.0
2003,ARM,Armenia,670474788.0
2004,ARM,Armenia,722911500.0
2005,ARM,Armenia,936977335.0
2006,ARM,Armenia,1003961105.0
2005,ATG,Antigua and Barbuda,120636130.0
2001,AUS,Australia,63288188610.0
2002,AUS,Australia,64984167265.0
2003,AUS,Australia,70288235404.0
2004,AUS,Australia,86484037752.0
2005,AUS,Australia,106011050685.0
2006,AUS,Australia,123324472734.0
2001,AUT,Austria,66492423852.0
2002,AUT,Austria,73112664770.0
2003,AUT,Austria,89256767360.0
2004,AUT,Austria,110829757357.0
2005,AUT,Austria,117721712170.0
2006,AUT,Austria,134169531326.0
2001,AZE,Azerbaijan,2314282345.0
2002,AZE,Azerbaijan,2167500086.0
2003,AZE,Azerbaijan,2591719389.0
