reporterISO,period,cmdCode,primaryValue,reporterDesc,cmdDesc
AGO,2007,2709,42286185648.0,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2008,2709,62786729938.715,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2009,2709,39262457163.0,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2010,2709,50788866848.0,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2011,2709,64140141220.0,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2012,2709,68863266749.0,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2007,2709,59060917.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2008,2709,75083621.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2009,2709,83219127.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2010,2709,162736020.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2011,2709,314104512.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2012,2709,492931584.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2007,2709,59075496289.0,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2008,2709,80481747754.0,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2009,2709,42073289611.0,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2010,2709,65482110207.0,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2011,2709,91935769559.0,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2012,2709,96590217801.0,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2007,2709,1296002689.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2008,2709,1618156132.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2009,2709,2466356802.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2010,2709,2583534304.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2011,2709,2182223595.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2012,2709,2611223721.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2007,2709,6702573830.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2008,2709,8708862495.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2009,2709,5633385230.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2010,2709,9660686983.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2011,2709,11830130895.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2012,2709,11317590566.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2007,2709,3214193710.0,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2008,2709,44170910610.0,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2009,2709,11989737737.0,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2010,2709,18489553774.0,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2011,2709,22911044605.0,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2012,2709,20232597801.0,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
BDI,2007,2709,19690.0,Burundi,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2007,2709,1534667321.0,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2008,2709,1740784258.0,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2009,2709,797141767.0,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2010,2709,106581638.639,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2011,2709,136927416.494,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2012,2709,121310118.039,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,2008,2709,26232915.0,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,2009,2709,45970745.0,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,2010,2709,42054265.0,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,2011,2709,25907156.0,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGR,2007,2709,23614.0,Bulgaria,Petroleum oils and oils obtained from bituminous minerals; crude
BGR,2008,2709,1538.0,Bulgaria,Petroleum oils and oils obtained from bituminous minerals; crude
BHR,2011,2709,23715935.0,Bahrain,Petroleum oils and oils obtained from bituminous minerals; crude
BIH,2009,2709,35.0,Bosnia Herzegovina,Petroleum oils and oils obtained from bituminous minerals; crude
BIH,2011,2709,139.0,Bosnia Herzegovina,Petroleum oils and oils obtained from bituminous minerals; crude
BIH,2012,2709,12.0,Bosnia Herzegovina,Petroleum oils and oils obtained from bituminous minerals; crude
BLR,2007,2709,483803000.0,Belarus,Petroleum oils and oils obtained from bituminous minerals; crude
BLR,2008,2709,988061000.0,Belarus,Petroleum oils and oils obtained from bituminous minerals; crude
BLR,2009,2709,738069100.0,Belarus,Petroleum oils and oils obtained from bituminous minerals; crude
BLR,2011,2709,1319628300.0,Belarus,Petroleum oils and oils obtained from bituminous minerals; crude
BLR,2012,2709,1288056000.0,Belarus,Petroleum oils and oils obtained from bituminous minerals; crude
BLZ,2007,2709,71606452.0,Belize,Petroleum oils and oils obtained from bituminous minerals; crude
BLZ,2008,2709,118279545.0,Belize,Petroleum oils and oils obtained from bituminous minerals; crude
BLZ,2009,2709,59587950.295,Belize,Petroleum oils and oils obtained from bituminous minerals; crude
BLZ,2010,2709,100422069.145,Belize,Petroleum oils and oils obtained from bituminous minerals; crude
BLZ,2011,2709,146043734.93,Belize,Petroleum oils and oils obtained from bituminous minerals; crude
BLZ,2012,2709,93150485.0,Belize,Petroleum oils and oils obtained from bituminous minerals; crude
BOL,2007,2709,268792180.25,Bolivia (Plurinational State of),Petroleum oils and oils obtained from bituminous minerals; crude
BOL,2008,2709,324291471.8,Bolivia (Plurinational State of),Petroleum oils and oils obtained from bituminous minerals; crude
BOL,2009,2709,139715492.62,Bolivia (Plurinational State of),Petroleum oils and oils obtained from bituminous minerals; crude
BOL,2010,2709,186644107.46,Bolivia (Plurinational State of),Petroleum oils and oils obtained from bituminous minerals; crude
BOL,2011,2709,227561724.73,Bolivia (Plurinational State of),Petroleum oils and oils obtained from bituminous minerals; crude
BOL,2012,2709,392429391.31,Bolivia (Plurinational State of),Petroleum oils and oils obtained from bituminous minerals; crude
BRA,2007,2709,8905065606.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRA,2008,2709,13682759497.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRA,2009,2709,9351031046.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRA,2010,2709,16293417491.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRA,2011,2709,21603315936.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRA,2012,2709,20289442464.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRB,2007,2709,68771010.0,Barbados,Petroleum oils and oils obtained from bituminous minerals; crude
BRB,2008,2709,22284808.0,Barbados,Petroleum oils and oils obtained from bituminous minerals; crude
BRB,2009,2709,9676401.0,Barbados,Petroleum oils and oils obtained from bituminous minerals; crude
BRB,2011,2709,19618508.0,Barbados,Petroleum oils and oils obtained from bituminous minerals; crude
BRB,2012,2709,31978637.0,Barbados,Petroleum oils and oils obtained from bituminous minerals; crude
BRN,2007,2709,5077107533.0,Brunei Darussalam,Petroleum oils and oils obtained from bituminous minerals; crude
BRN,2008,2709,5622295614.0,Brunei Darussalam,Petroleum oils and oils obtained from bituminous minerals; crude
BRN,2009,2709,3418601975.0,Brunei Darussalam,Petroleum oils and oils obtained from bituminous minerals; crude
BRN,2010,2709,4493247943.902,Brunei Darussalam,Petroleum oils and oils obtained from bituminous minerals; crude
BRN,2011,2709,6325596510.765,Brunei Darussalam,Petroleum oils and oils obtained from bituminous minerals; crude
BRN,2012,2709,6271267480.0,Brunei Darussalam,Petroleum oils and oils obtained from bituminous minerals; crude
BWA,2007,2709,3921.0,Botswana,Petroleum oils and oils obtained from bituminous minerals; crude
BWA,2008,2709,36322.0,Botswana,Petroleum oils and oils obtained from bituminous minerals; crude
BWA,2009,2709,13537.0,Botswana,Petroleum oils and oils obtained from bituminous minerals; crude
BWA,2010,2709,126364.336,Botswana,Petroleum oils and oils obtained from bituminous minerals; crude
BWA,2011,2709,158796.668,Botswana,Petroleum oils and oils obtained from bituminous minerals; crude
BWA,2012,2709,78533.831,Botswana,Petroleum oils and oils obtained from bituminous minerals; crude
CAN,2007,2709,39019837444.0,Canada,Petroleum oils and oils obtained from bituminous minerals; crude
CAN,2008,2709,63663070516.0,Canada,Petroleum oils and oils obtained from bituminous minerals; crude
CAN,2009,2709,37619239354.0,Canada,Petroleum oils and oils obtained from bituminous minerals; crude
CAN,2010,2709,50458801571.0,Canada,Petroleum oils and oils obtained from bituminous minerals; crude
CAN,2011,2709,69477186201.0,Canada,Petroleum oils and oils obtained from bituminous minerals; crude
CAN,2012,2709,74803784709.0,Canada,Petroleum oils and oils obtained from bituminous minerals; crude
CHE,2007,2709,12764.441,Switzerland,Petroleum oils and oils obtained from bituminous minerals; crude
CHE,2008,2709,261.289,Switzerland,Petroleum oils and oils obtained from bituminous minerals; crude
CHE,2009,2709,6671.006,Switzerland,Petroleum oils and oils obtained from bituminous minerals; crude
CHE,2010,2709,14399.0,Switzerland,Petroleum oils and oils obtained from bituminous minerals; crude
CHE,2011,2709,9871.0,Switzerland,Petroleum oils and oils obtained from bituminous minerals; crude
CHE,2012,2709,14709.057,Switzerland,Petroleum oils and oils obtained from bituminous minerals; crude
CHN,2007,2709,2538309104.0,China,Petroleum oils and oils obtained from bituminous minerals; crude
CHN,2008,2709,3002936664.0,China,Petroleum oils and oils obtained from bituminous minerals; crude
CHN,2009,2709,2155728744.0,China,Petroleum oils and oils obtained from bituminous minerals; crude
CHN,2010,2709,1644812964.0,China,Petroleum oils and oils obtained from bituminous minerals; crude
