period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2019,ABW,Aruba,29,Organic chemicals,3659433.402
2020,ABW,Aruba,29,Organic chemicals,4927345.094
2021,ABW,Aruba,29,Organic chemicals,3853553.018
2022,ABW,Aruba,29,Organic chemicals,5415362.493
2023,ABW,Aruba,29,Organic chemicals,4601637.924
2019,AFG,Afghanistan,29,Organic chemicals,19237444.0
2019,AGO,Angola,29,Organic chemicals,91810341.857
2020,AGO,Angola,29,Organic chemicals,50455458.602
2021,AGO,Angola,29,Organic chemicals,67653155.301
2022,AGO,Angola,29,Organic chemicals,98536677.795
2023,AGO,Angola,29,Organic chemicals,93483227.416
2019,ALB,Albania,29,Organic chemicals,14690642.728
2020,ALB,Albania,29,Organic chemicals,14234354.361
2021,ALB,Albania,29,Organic chemicals,16392412.909
2022,ALB,Albania,29,Organic chemicals,17585583.453
2023,ALB,Albania,29,Organic chemicals,24017106.953
2019,AND,Andorra,29,Organic chemicals,767059.187
2020,AND,Andorra,29,Organic chemicals,764223.288
2021,AND,Andorra,29,Organic chemicals,837930.972
2022,AND,Andorra,29,Organic chemicals,560354.411
2023,AND,Andorra,29,Organic chemicals,385185.532
2019,ARE,United Arab Emirates,29,Organic chemicals,1749473881.689
2020,ARE,United Arab Emirates,29,Organic chemicals,1461234826.689
2021,ARE,United Arab Emirates,29,Organic chemicals,2182857685.579
2022,ARE,United Arab Emirates,29,Organic chemicals,3079775437.044
2023,ARE,United Arab Emirates,29,Organic chemicals,3111032525.838
2019,ARG,Argentina,29,Organic chemicals,2370092160.53
2020,ARG,Argentina,29,Organic chemicals,2539675189.1
2021,ARG,Argentina,29,Organic chemicals,3337028234.59
2022,ARG,Argentina,29,Organic chemicals,4447171854.59
2023,ARG,Argentina,29,Organic chemicals,3423235574.67
2019,ARM,Armenia,29,Organic chemicals,13267992.08
2020,ARM,Armenia,29,Organic chemicals,11933975.69
2021,ARM,Armenia,29,Organic chemicals,13291244.63
2022,ARM,Armenia,29,Organic chemicals,27165670.83
2023,ARM,Armenia,29,Organic chemicals,21295698.15
2019,ATG,Antigua and Barbuda,29,Organic chemicals,395831.143
2020,ATG,Antigua and Barbuda,29,Organic chemicals,465338.73
2021,ATG,Antigua and Barbuda,29,Organic chemicals,511344.862
2022,ATG,Antigua and Barbuda,29,Organic chemicals,437312.622
2023,ATG,Antigua and Barbuda,29,Organic chemicals,602173.785
2019,AUS,Australia,29,Organic chemicals,2244149022.317
2020,AUS,Australia,29,Organic chemicals,2416187030.611
2021,AUS,Australia,29,Organic chemicals,2595905487.646
2022,AUS,Australia,29,Organic chemicals,2869712211.241
2023,AUS,Australia,29,Organic chemicals,1970240851.448
2019,AUT,Austria,29,Organic chemicals,5288422739.113
2020,AUT,Austria,29,Organic chemicals,4700834808.231
2021,AUT,Austria,29,Organic chemicals,5691666728.76
2022,AUT,Austria,29,Organic chemicals,5890920880.192
2023,AUT,Austria,29,Organic chemicals,6463695502.7
2019,AZE,Azerbaijan,29,Organic chemicals,43721138.07
2020,AZE,Azerbaijan,29,Organic chemicals,40344834.35
2021,AZE,Azerbaijan,29,Organic chemicals,40202727.27
2022,AZE,Azerbaijan,29,Organic chemicals,55459215.02
2023,AZE,Azerbaijan,29,Organic chemicals,53431004.97
2019,BDI,Burundi,29,Organic chemicals,3374594.998
2020,BDI,Burundi,29,Organic chemicals,1980360.833
2021,BDI,Burundi,29,Organic chemicals,3183243.345
2022,BDI,Burundi,29,Organic chemicals,2850089.677
2023,BDI,Burundi,29,Organic chemicals,2609236.415
2019,BEL,Belgium,29,Organic chemicals,21225377915.005
2020,BEL,Belgium,29,Organic chemicals,17852088569.01
2021,BEL,Belgium,29,Organic chemicals,31976399703.217
