period,reporterISO,reporterDesc,total_imports_usd
2007,ABW,Aruba,1113876882.0
2008,ABW,Aruba,1112619693.0
2009,ABW,Aruba,1149199674.0
2010,ABW,Aruba,1071033527.0
2011,ABW,Aruba,1284948780.0
2012,ABW,Aruba,1259804184.0
2008,AFG,Afghanistan,3019860129.0
2009,AFG,Afghanistan,3336434781.0
2010,AFG,Afghanistan,5154249867.0
2011,AFG,Afghanistan,6390310947.0
2012,AFG,Afghanistan,6204984101.0
2007,AGO,Angola,11094843413.0
2008,AGO,Angola,23926307915.805
2009,AGO,Angola,23918854361.0
2010,AGO,Angola,18143268908.0
2011,AGO,Angola,20790996039.0
2012,AGO,Angola,28722984064.0
2007,AIA,Anguilla,247904776.0
2008,AIA,Anguilla,271744400.0
2007,ALB,Albania,4200864046.0
2008,ALB,Albania,5250490022.0
2009,ALB,Albania,4548287875.0
2010,ALB,Albania,4602774967.0
2011,ALB,Albania,5395853069.0
2012,ALB,Albania,4879829648.0
2007,AND,Andorra,1925764472.608
2008,AND,Andorra,1939929690.246
2009,AND,Andorra,1610110566.201
2010,AND,Andorra,1540506325.235
2011,AND,Andorra,1617690977.38
2012,AND,Andorra,1417733784.055
2007,ANT,Netherlands Antilles (...2010),1151735237.0
2008,ANT,Netherlands Antilles (...2010),1436995908.0
2007,ARE,United Arab Emirates,127001504679.0
2008,ARE,United Arab Emirates,175485699238.0
2009,ARE,United Arab Emirates,164251000000.0
2010,ARE,United Arab Emirates,187001000000.0
2011,ARE,United Arab Emirates,210945000000.0
2012,ARE,United Arab Emirates,261022920180.0
2007,ARG,Argentina,44707041808.0
2008,ARG,Argentina,57461774372.0
2009,ARG,Argentina,38786161790.0
2010,ARG,Argentina,56792378207.0
2011,ARG,Argentina,73960656100.0
2012,ARG,Argentina,67973971893.0
2007,ARM,Armenia,3052565547.0
2008,ARM,Armenia,4101217006.0
2009,ARM,Armenia,3174631229.0
2010,ARM,Armenia,3781767406.0
2011,ARM,Armenia,4109348430.0
2012,ARM,Armenia,4266895650.0
2007,ATG,Antigua and Barbuda,573078069.0
2009,ATG,Antigua and Barbuda,699056325.0
2010,ATG,Antigua and Barbuda,501230695.0
2011,ATG,Antigua and Barbuda,471410407.0
2012,ATG,Antigua and Barbuda,532257671.0
2007,AUS,Australia,165471525339.0
2008,AUS,Australia,200617274510.0
2009,AUS,Australia,165601136423.0
2010,AUS,Australia,201703333727.0
2011,AUS,Australia,234205823230.0
2012,AUS,Australia,250464794398.0
2007,AUT,Austria,156055652650.0
2008,AUT,Austria,175025754112.0
2009,AUT,Austria,136418429213.0
2010,AUT,Austria,150592664071.0
2011,AUT,Austria,182349823981.0
2012,AUT,Austria,169657276310.24
2007,AZE,Azerbaijan,5712178288.0
2008,AZE,Azerbaijan,7161847499.0
2009,AZE,Azerbaijan,6119060204.0
2010,AZE,Azerbaijan,6596796766.0
2011,AZE,Azerbaijan,9732869048.0
2012,AZE,Azerbaijan,9641723771.0
2007,BDI,Burundi,422995874.0
2008,BDI,Burundi,315157397.0
2009,BDI,Burundi,344795673.0
2010,BDI,Burundi,404047033.077
2011,BDI,Burundi,1127649727.0
2012,BDI,Burundi,1003121113.0
2007,BEL,Belgium,413035800320.0
2008,BEL,Belgium,466338013887.0
2009,BEL,Belgium,354586368473.0
2010,BEL,Belgium,282824854916.43
2011,BEL,Belgium,341601380377.552
2012,BEL,Belgium,318426807370.856
2007,BEN,Benin,1630866027.0
2008,BEN,Benin,1713643054.0
2009,BEN,Benin,1548967817.0
2010,BEN,Benin,2133551198.0
2011,BEN,Benin,2070012091.0
2012,BEN,Benin,2316427344.0
2007,BFA,Burkina Faso,1699979156.428
2008,BFA,Burkina Faso,2219613334.086
2009,BFA,Burkina Faso,2224233959.126
2010,BFA,Burkina Faso,2276671351.545
2011,BFA,Burkina Faso,2775515403.557
2012,BFA,Burkina Faso,3554354135.199
2007,BGD,Bangladesh,17622872861.0
2008,BGD,Bangladesh,24334108166.0
2009,BGD,Bangladesh,23245039195.0
2010,BGD,Bangladesh,30503835497.0
2011,BGD,Bangladesh,41221651781.0
2012,BGD,Bangladesh,36356219409.0
2007,BGR,Bulgaria,30085387539.0
2008,BGR,Bulgaria,37015366386.0
2009,BGR,Bulgaria,23340811547.0
2010,BGR,Bulgaria,25359886220.0
2011,BGR,Bulgaria,32493611423.0
2012,BGR,Bulgaria,32743133695.0
2007,BHR,Bahrain,11515148862.0
2008,BHR,Bahrain,18414553284.0
2009,BHR,Bahrain,11993377020.0
2010,BHR,Bahrain,16001647094.0
2011,BHR,Bahrain,17643318338.0
2012,BHR,Bahrain,14249140950.0
2007,BHS,Bahamas,3102601552.0
2008,BHS,Bahamas,3229968663.0
2009,BHS,Bahamas,2698526468.0
2010,BHS,Bahamas,2861948147.0
2011,BHS,Bahamas,3410316267.0
2012,BHS,Bahamas,3646505184.0
2007,BIH,Bosnia Herzegovina,9720056196.0
2008,BIH,Bosnia Herzegovina,12188608532.0
2009,BIH,Bosnia Herzegovina,8363714090.0
2010,BIH,Bosnia Herzegovina,9222997633.0
2011,BIH,Bosnia Herzegovina,11050575357.0
2012,BIH,Bosnia Herzegovina,10019077121.0
2007,BLR,Belarus,28693112600.0
2008,BLR,Belarus,39381251500.0
2009,BLR,Belarus,28568991600.0
2010,BLR,Belarus,34884450900.0
2011,BLR,Belarus,45759076500.0
2012,BLR,Belarus,46404389200.0
2007,BLZ,Belize,684342489.0
2008,BLZ,Belize,836543793.0
2009,BLZ,Belize,650305024.005
2010,BLZ,Belize,706488870.405
2011,BLZ,Belize,800352792.409
