reporterISO,period,cmdCode,primaryValue,reporterDesc,cmdDesc
AIA,2000,2709,594.0,Anguilla,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,1996,2709,890622.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,1997,2709,3469565.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,1998,2709,1888163.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,1999,2709,23006359.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2000,2709,9405.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
AND,1995,2709,353.0,Andorra,Petroleum oils and oils obtained from bituminous minerals; crude
AND,2000,2709,1270.0,Andorra,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,1999,2709,2021.0,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2000,2709,965969.0,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,1995,2709,98576560.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,1996,2709,126965936.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,1997,2709,192048560.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,1998,2709,135415520.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,1999,2709,136921812.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2000,2709,322950352.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARM,1997,2709,956531.0,Armenia,Petroleum oils and oils obtained from bituminous minerals; crude
ARM,1999,2709,1392910.0,Armenia,Petroleum oils and oils obtained from bituminous minerals; crude
ARM,2000,2709,1413796.0,Armenia,Petroleum oils and oils obtained from bituminous minerals; crude
ATG,1999,2709,160.0,Antigua and Barbuda,Petroleum oils and oils obtained from bituminous minerals; crude
ATG,2000,2709,126.0,Antigua and Barbuda,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,1995,2709,1882169198.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,1996,2709,2749422979.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,1997,2709,2788359487.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,1998,2709,2082481920.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,1999,2709,3021507220.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2000,2709,4493077556.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUT,1995,2709,1030429312.0,Austria,Petroleum oils and oils obtained from bituminous minerals; crude
AUT,1996,2709,1245676544.0,Austria,Petroleum oils and oils obtained from bituminous minerals; crude
AUT,1997,2709,1290398848.0,Austria,Petroleum oils and oils obtained from bituminous minerals; crude
AUT,1998,2709,857923840.0,Austria,Petroleum oils and oils obtained from bituminous minerals; crude
AUT,1999,2709,995836341.0,Austria,Petroleum oils and oils obtained from bituminous minerals; crude
AUT,2000,2709,1606347069.0,Austria,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,1997,2709,20427570.0,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,1998,2709,7454867.0,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,1999,2709,57809.0,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2000,2709,237.0,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,1995,2709,3285904384.0,Belgium-Luxembourg (...1998),Petroleum oils and oils obtained from bituminous minerals; crude
BEL,1996,2709,4387103744.0,Belgium-Luxembourg (...1998),Petroleum oils and oils obtained from bituminous minerals; crude
BEL,1997,2709,4362280960.0,Belgium-Luxembourg (...1998),Petroleum oils and oils obtained from bituminous minerals; crude
BEL,1998,2709,2971326208.0,Belgium-Luxembourg (...1998),Petroleum oils and oils obtained from bituminous minerals; crude
BEL,1999,2709,3979340172.0,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2000,2709,6683337491.0,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BFA,1996,2709,214.0,Burkina Faso,Petroleum oils and oils obtained from bituminous minerals; crude
BFA,1997,2709,262.0,Burkina Faso,Petroleum oils and oils obtained from bituminous minerals; crude
BFA,1998,2709,34.0,Burkina Faso,Petroleum oils and oils obtained from bituminous minerals; crude
BFA,1999,2709,1080.0,Burkina Faso,Petroleum oils and oils obtained from bituminous minerals; crude
BFA,2000,2709,561.0,Burkina Faso,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,1995,2709,173680721.0,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,1996,2709,158852430.0,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,1997,2709,186746511.0,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,1998,2709,177016541.0,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,2000,2709,117289173.0,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGR,1996,2709,917673344.0,Bulgaria,Petroleum oils and oils obtained from bituminous minerals; crude
BGR,1997,2709,771161152.0,Bulgaria,Petroleum oils and oils obtained from bituminous minerals; crude
BGR,1998,2709,437965664.0,Bulgaria,Petroleum oils and oils obtained from bituminous minerals; crude
BGR,1999,2709,580221056.0,Bulgaria,Petroleum oils and oils obtained from bituminous minerals; crude
BHS,1998,2709,53776.0,Bahamas,Petroleum oils and oils obtained from bituminous minerals; crude
BHS,1999,2709,1989.0,Bahamas,Petroleum oils and oils obtained from bituminous minerals; crude
BHS,2000,2709,1458675.0,Bahamas,Petroleum oils and oils obtained from bituminous minerals; crude
BLR,1998,2709,799071616.0,Belarus,Petroleum oils and oils obtained from bituminous minerals; crude
BLR,1999,2709,688261312.0,Belarus,Petroleum oils and oils obtained from bituminous minerals; crude
BLR,2000,2709,1627825200.0,Belarus,Petroleum oils and oils obtained from bituminous minerals; crude
BLZ,1997,2709,87.0,Belize,Petroleum oils and oils obtained from bituminous minerals; crude
BOL,1996,2709,4974.0,Bolivia (Plurinational State of),Petroleum oils and oils obtained from bituminous minerals; crude
BOL,1997,2709,4892.0,Bolivia (Plurinational State of),Petroleum oils and oils obtained from bituminous minerals; crude
BOL,2000,2709,128.0,Bolivia (Plurinational State of),Petroleum oils and oils obtained from bituminous minerals; crude
BRA,1995,2709,2756383488.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRA,1996,2709,3640446208.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRA,1997,2709,3379907584.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRA,1998,2709,2141654272.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRA,1999,2709,2277869912.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRA,2000,2709,3304139994.0,Brazil,Petroleum oils and oils obtained from bituminous minerals; crude
BRN,1997,2709,7446.0,Brunei Darussalam,Petroleum oils and oils obtained from bituminous minerals; crude
BRN,1998,2709,22335.0,Brunei Darussalam,Petroleum oils and oils obtained from bituminous minerals; crude
