period,reporterISO,reporterDesc,total_imports_usd
2000,ABW,Aruba,835229439.0
2000,AIA,Anguilla,94514171.0
1996,ALB,Albania,938481792.0
1997,ALB,Albania,629026304.0
1998,ALB,Albania,841256184.0
1999,ALB,Albania,1154351169.0
2000,ALB,Albania,1089467879.0
1995,AND,Andorra,1025480576.0
1996,AND,Andorra,1061358400.0
1997,AND,Andorra,1061291648.0
1998,AND,Andorra,1064134784.0
1999,AND,Andorra,1078680594.0
2000,AND,Andorra,1011959615.0
1998,ANT,Netherlands Antilles (...2010),2061864192.0
1999,ARE,United Arab Emirates,25911556936.0
2000,ARE,United Arab Emirates,27192313655.0
1995,ARG,Argentina,20121640960.0
1996,ARG,Argentina,23761555456.0
1997,ARG,Argentina,30349402112.0
1998,ARG,Argentina,31377246208.0
1999,ARG,Argentina,25507944033.0
2000,ARG,Argentina,25280463491.0
1997,ARM,Armenia,754439680.0
1999,ARM,Armenia,810846494.0
2000,ARM,Armenia,840307429.0
1999,ATG,Antigua and Barbuda,356003488.0
2000,ATG,Antigua and Barbuda,338187415.0
1995,AUS,Australia,57422799123.0
1996,AUS,Australia,61400054057.0
1997,AUS,Australia,61833388139.0
1998,AUS,Australia,60774257104.0
1999,AUS,Australia,65198357215.0
2000,AUS,Australia,71555125639.0
1995,AUT,Austria,66405670912.0
1996,AUT,Austria,67283750912.0
1997,AUT,Austria,63630995456.0
1998,AUT,Austria,67098177536.0
1999,AUT,Austria,66003473393.0
2000,AUT,Austria,68373911913.0
1996,AZE,Azerbaijan,960603264.0
1997,AZE,Azerbaijan,794337920.0
1998,AZE,Azerbaijan,1076489216.0
1999,AZE,Azerbaijan,1035652323.0
2000,AZE,Azerbaijan,1172038210.0
1995,BDI,Burundi,270489664.0
1996,BDI,Burundi,139802224.0
1997,BDI,Burundi,120567432.0
1998,BDI,Burundi,162234928.0
1999,BDI,Burundi,131972128.0
2000,BDI,Burundi,150219354.0
1995,BEL,Belgium-Luxembourg (...1998),153388335104.0
1996,BEL,Belgium-Luxembourg (...1998),157996204032.0
1997,BEL,Belgium-Luxembourg (...1998),159458607104.0
1998,BEL,Belgium-Luxembourg (...1998),166721634304.0
1999,BEL,Belgium,164603472960.0
2000,BEL,Belgium,176990651494.0
1998,BEN,Benin,807020032.0
1999,BEN,Benin,690955008.0
2000,BEN,Benin,547076221.0
1995,BFA,Burkina Faso,483809088.0
1996,BFA,Burkina Faso,580572736.0
1997,BFA,Burkina Faso,726500736.0
1998,BFA,Burkina Faso,796083663.0
1999,BFA,Burkina Faso,781773730.0
2000,BFA,Burkina Faso,723595863.0
1995,BGD,Bangladesh,5438407896.0
1996,BGD,Bangladesh,6225296170.0
1997,BGD,Bangladesh,6784461253.0
1998,BGD,Bangladesh,7017968265.0
2000,BGD,Bangladesh,7611261550.0
1996,BGR,Bulgaria,5073922048.0
1997,BGR,Bulgaria,4931953664.0
1998,BGR,Bulgaria,4995096064.0
1999,BGR,Bulgaria,5409527038.0
2000,BGR,Bulgaria,6504688325.0
2000,BHR,Bahrain,4633587880.0
1997,BHS,Bahamas,1621739008.0
1998,BHS,Bahamas,1815543296.0
1999,BHS,Bahamas,1750850304.0
2000,BHS,Bahamas,2002171986.0
1998,BLR,Belarus,8549278208.0
1999,BLR,Belarus,6673728512.0
2000,BLR,Belarus,8646200000.0
1995,BLZ,Belize,258509299.0
1996,BLZ,Belize,255553433.0
1997,BLZ,Belize,286067639.0
1998,BLZ,Belize,292261248.0
1999,BLZ,Belize,284586880.0
2000,BLZ,Belize,446932894.0
1995,BMU,Bermuda,633307520.0
1997,BMU,Bermuda,587153344.0
1995,BOL,Bolivia (Plurinational State of),1396248576.0
1996,BOL,Bolivia (Plurinational State of),1643040000.0
1997,BOL,Bolivia (Plurinational State of),1909178240.0
1998,BOL,Bolivia (Plurinational State of),2350150400.0
1999,BOL,Bolivia (Plurinational State of),1835407742.0
2000,BOL,Bolivia (Plurinational State of),2020310594.0
1995,BRA,Brazil,53734285312.0
1996,BRA,Brazil,56729460736.0
1997,BRA,Brazil,65074597888.0
1998,BRA,Brazil,60793118720.0
1999,BRA,Brazil,51747393438.0
2000,BRA,Brazil,60045621239.0
1997,BRB,Barbados,995204672.0
1998,BRB,Barbados,1022074176.0
1999,BRB,Barbados,1067336896.0
2000,BRB,Barbados,1155540249.0
1997,BRN,Brunei Darussalam,2110429184.0
1998,BRN,Brunei Darussalam,1565943110.0
1998,BTN,Bhutan,134496432.0
1999,BTN,Bhutan,182077408.0
2000,BWA,Botswana,2078935789.0
1995,CAF,Central African Rep.,265497568.0
1996,CAF,Central African Rep.,179940576.0
1997,CAF,Central African Rep.,106862248.0
1998,CAF,Central African Rep.,117097784.0
1999,CAF,Central African Rep.,95346416.0
2000,CAF,Central African Rep.,71044851.0
1995,CAN,Canada,164370978200.0
1996,CAN,Canada,170605558987.0
1997,CAN,Canada,197010906689.0
1998,CAN,Canada,201372549120.0
1999,CAN,Canada,215554886332.0
2000,CAN,Canada,240088243660.0
1995,CHE,Switzerland,80152002560.0
1996,CHE,Switzerland,78272651264.0
1997,CHE,Switzerland,75900354560.0
1998,CHE,Switzerland,80094044160.0
1999,CHE,Switzerland,79857074176.0
2000,CHE,Switzerland,93919141994.646
1995,CHL,Chile,14903049216.0
1996,CHL,Chile,16809973760.0
1997,CHL,Chile,18110803968.0
1998,CHL,Chile,17082405888.0
1999,CHL,Chile,13891477545.0
2000,CHL,Chile,16619725987.0
1995,CHN,China,132083499604.0
1996,CHN,China,138832734845.0
1997,CHN,China,142370324066.0
1998,CHN,China,140236767232.0
1999,CHN,China,165699066576.0
2000,CHN,China,225093731030.0
1995,CIV,Côte d'Ivoire,2472055552.0
1996,CIV,Côte d'Ivoire,2615644416.0
1997,CIV,Côte d'Ivoire,2750775808.0
1998,CIV,Côte d'Ivoire,2999738880.0
1999,CIV,Côte d'Ivoire,2897644544.0
2000,CIV,Côte d'Ivoire,2484751717.0
1995,CMR,Cameroon,1078532608.0
1996,CMR,Cameroon,1204333696.0
1997,CMR,Cameroon,1496454528.0
1998,CMR,Cameroon,1495135419.0
1999,CMR,Cameroon,1315739392.0
2000,CMR,Cameroon,1483629578.0
1995,COG,Congo,555904448.0
1995,COL,Colombia,13883488256.0
1996,COL,Colombia,13680470016.0
1997,COL,Colombia,15378803712.0
1998,COL,Colombia,14677125120.0
1999,COL,Colombia,10659186688.0
2000,COL,Colombia,11757001451.0
1995,COM,Comoros,62392852.0
1996,COM,Comoros,56641000.0
1997,COM,Comoros,55029108.0
1998,COM,Comoros,46949896.0
1999,COM,Comoros,79851136.0
2000,COM,Comoros,36281201.0
1997,CPV,Cabo Verde,260961152.0
1998,CPV,Cabo Verde,231102352.0
1999,CPV,Cabo Verde,262204816.0
2000,CPV,Cabo Verde,237260889.0
1995,CRI,Costa Rica,3205464832.0
1996,CRI,Costa Rica,3560994560.0
1997,CRI,Costa Rica,4510893568.0
1998,CRI,Costa Rica,6237100032.0
1999,CRI,Costa Rica,5986504619.0
2000,CRI,Costa Rica,6028858249.0
1999,CUB,Cuba,4391241802.0
2000,CUB,Cuba,4843261214.0
1995,CYP,Cyprus,3693766400.0
1996,CYP,Cyprus,3981867520.0
1997,CYP,Cyprus,3698056448.0
1998,CYP,Cyprus,3686276608.0
1999,CYP,Cyprus,3617947136.0
2000,CYP,Cyprus,3846316785.0
1995,CZE,Czechia,25303402496.0
1996,CZE,Czechia,27717294080.0
1997,CZE,Czechia,27183540224.0
1998,CZE,Czechia,30524192768.0
1999,CZE,Czechia,28837311765.0
2000,CZE,Czechia,32242586506.0
1995,DEU,Germany,464145333000.0
1996,DEU,Germany,458699728664.0
1997,DEU,Germany,445495672832.0
1998,DEU,Germany,471226318848.0
1999,DEU,Germany,473500680192.0
2000,DEU,Germany,500830026000.0
1995,DMA,Dominica,117265424.0
1996,DMA,Dominica,129939280.0
1997,DMA,Dominica,133222512.0
1999,DMA,Dominica,132828320.0
2000,DMA,Dominica,148167404.0
1995,DNK,Denmark,43141529600.0
1996,DNK,Denmark,43126353920.0
1997,DNK,Denmark,44492341248.0
1998,DNK,Denmark,45700681728.0
1999,DNK,Denmark,44316614710.0
2000,DNK,Denmark,44533303695.0
1995,DZA,Algeria,10782432256.0
1996,DZA,Algeria,9105595392.0
1997,DZA,Algeria,8688356352.0
1998,DZA,Algeria,9403430912.0
1999,DZA,Algeria,9161845368.0
2000,DZA,Algeria,9152077226.0
1995,ECU,Ecuador,4195143424.0
1996,ECU,Ecuador,3733027328.0
1997,ECU,Ecuador,4510621184.0
1998,ECU,Ecuador,5575400448.0
1999,ECU,Ecuador,3017166537.0
2000,ECU,Ecuador,3445927694.0
1995,EGY,Egypt,11738950656.0
1996,EGY,Egypt,13019580416.0
1997,EGY,Egypt,13168464896.0
1998,EGY,Egypt,16478605312.0
1999,EGY,Egypt,15962046464.0
2000,EGY,Egypt,14017798960.835
1995,ESP,Spain,113398595584.0
1996,ESP,Spain,123182899200.0
1997,ESP,Spain,124417654784.0
1998,ESP,Spain,134522634240.0
1999,ESP,Spain,147865871280.0
2000,ESP,Spain,155962978686.433
1995,EST,Estonia,2546270976.0
1996,EST,Estonia,3223890944.0
1997,EST,Estonia,4437264896.0
1998,EST,Estonia,4786737664.0
1999,EST,Estonia,4109452226.0
2000,EST,Estonia,5051531691.0
1995,ETH,Ethiopia,1141000448.0
1997,ETH,Ethiopia,1113276032.0
1998,ETH,Ethiopia,1458664576.0
1999,ETH,Ethiopia,1385755264.0
2000,ETH,Ethiopia,1260492863.228
1995,FIN,Finland,29519845376.0
1996,FIN,Finland,30859608064.0
1997,FIN,Finland,31001018368.0
1998,FIN,Finland,32394584064.0
1999,FIN,Finland,31614075338.0
2000,FIN,Finland,33886398313.0
2000,FJI,Fiji,772274302.0
1995,FRA,France,273387339776.0
1996,FRA,France,274913755136.0
1997,FRA,France,266575347712.0
1998,FRA,France,286035836928.0
1999,FRA,France,286592827392.0
2000,FRA,France,303757850581.0
1996,FRO,Faroe Isds,370150528.0
1997,FRO,Faroe Isds,350133024.0
1998,FRO,Faroe Isds,378312224.0
1999,FRO,Faroe Isds,477465030.0
2000,FRO,Faroe Isds,532820288.0
1996,GAB,Gabon,898120320.0
1997,GAB,Gabon,986852282.0
1998,GAB,Gabon,1209275733.0
1999,GAB,Gabon,899443356.0
2000,GAB,Gabon,951688753.0
1995,GBR,United Kingdom,261456478208.0
1996,GBR,United Kingdom,282720141312.0
1997,GBR,United Kingdom,305135405241.0
1998,GBR,United Kingdom,311879512480.0
1999,GBR,United Kingdom,315333083128.0
2000,GBR,United Kingdom,374702690648.0
1996,GEO,Georgia,686782731.0
1997,GEO,Georgia,941717999.0
1998,GEO,Georgia,880380304.0
1999,GEO,Georgia,603134080.0
2000,GEO,Georgia,709376222.0
1996,GHA,Ghana,2480808448.0
1997,GHA,Ghana,3352422912.0
1998,GHA,Ghana,2911292416.0
1999,GHA,Ghana,3003758336.0
2000,GHA,Ghana,2900560530.0
1995,GIN,Guinea,818508544.0
1996,GIN,Guinea,647662144.0
1997,GIN,Guinea,619702464.0
1998,GIN,Guinea,536579328.0
1999,GIN,Guinea,555924928.0
2000,GIN,Guinea,616365050.0
1995,GLP,Guadeloupe (Overseas France),1901305728.0
1995,GMB,Gambia,214548672.0
1996,GMB,Gambia,219176944.0
1997,GMB,Gambia,256046064.0
1998,GMB,Gambia,257190352.0
1999,GMB,Gambia,192156944.0
2000,GMB,Gambia,190383308.006
1995,GRC,Greece,25926758400.0
1996,GRC,Greece,28418924544.0
1997,GRC,Greece,26970617856.0
1998,GRC,Greece,30266642432.0
1999,GRC,Greece,30434422777.0
2000,GRC,Greece,29486860105.0
1995,GRD,Grenada,128901864.0
1996,GRD,Grenada,151361984.0
1997,GRD,Grenada,167667600.0
1998,GRD,Grenada,200001152.0
1999,GRD,Grenada,202215440.0
2000,GRD,Grenada,238790622.0
1995,GRL,Greenland,421105536.0
1996,GRL,Greenland,466543936.0
1997,GRL,Greenland,374071104.0
1998,GRL,Greenland,397319328.0
1999,GRL,Greenland,418303313.0
2000,GRL,Greenland,364494856.0
1995,GTM,Guatemala,3292444928.0
1996,GTM,Guatemala,3146201856.0
1997,GTM,Guatemala,3851918336.0
1998,GTM,Guatemala,4650830336.0
1999,GTM,Guatemala,4554308306.0
2000,GTM,Guatemala,5167280841.0
1995,GUF,French Guiana (Overseas France),783246976.0
1997,GUY,Guyana,602336000.0
1998,GUY,Guyana,539803000.0
1999,GUY,Guyana,479928992.0
2000,GUY,Guyana,573430525.0
1995,HKG,"China, Hong Kong SAR",196071753754.0
1996,HKG,"China, Hong Kong SAR",201283969779.0
1997,HKG,"China, Hong Kong SAR",213299999865.0
1998,HKG,"China, Hong Kong SAR",186759283447.0
1999,HKG,"China, Hong Kong SAR",180710618558.0
2000,HKG,"China, Hong Kong SAR",214068411615.0
1995,HND,Honduras,1727514240.0
1996,HND,Honduras,1840109312.0
1997,HND,Honduras,2147369856.0
1998,HND,Honduras,2533953792.0
1999,HND,Honduras,2673677312.0
2000,HND,Honduras,2826107236.0
1995,HRV,Croatia,7509185024.0
1996,HRV,Croatia,7787760128.0
1997,HRV,Croatia,9122318336.0
1998,HRV,Croatia,8383010304.0
1999,HRV,Croatia,7777378559.0
2000,HRV,Croatia,7886511618.0
1995,HUN,Hungary,15185560576.0
1996,HUN,Hungary,16042644480.0
1997,HUN,Hungary,21234012160.0
1998,HUN,Hungary,25706391552.0
1999,HUN,Hungary,28008226000.0
2000,HUN,Hungary,32080002000.0
1995,IDN,Indonesia,40628703232.0
1996,IDN,Indonesia,42928463872.0
1997,IDN,Indonesia,41679745024.0
1998,IDN,Indonesia,27336828928.0
1999,IDN,Indonesia,24003249538.0
2000,IDN,Indonesia,33514804833.0
1995,IND,India,36592062464.0
1996,IND,India,39112814392.0
1997,IND,India,41429430272.0
1998,IND,India,42424950784.0
1999,IND,India,50010898627.0
2000,IND,India,52940251405.0
1995,IRL,Ireland,32321019904.0
1996,IRL,Ireland,35764649984.0
1997,IRL,Ireland,39232667648.0
1998,IRL,Ireland,44378009600.0
1999,IRL,Ireland,47207837696.0
2000,IRL,Ireland,50777507414.831
1997,IRN,Iran,14180701642.0
1998,IRN,Iran,14285524759.0
1999,IRN,Iran,12621764573.0
2000,IRN,Iran,13626007038.0
1995,ISL,Iceland,1751334528.0
1996,ISL,Iceland,2041528704.0
1997,ISL,Iceland,2019473792.0
1998,ISL,Iceland,2482828032.0
1999,ISL,Iceland,2315481856.0
2000,ISL,Iceland,2582983029.0
