reporterISO,period,cmdCode,primaryValue,reporterDesc,cmdDesc
S19,2020,2702,135265.252,"Other Asia, nes","Lignite; whether or not agglomerated, excluding jet"
SAU,2020,2702,5282875.335,Saudi Arabia,"Lignite; whether or not agglomerated, excluding jet"
SGP,2020,2702,8418.028,Singapore,"Lignite; whether or not agglomerated, excluding jet"
SRB,2020,2702,23820798.0,Serbia,"Lignite; whether or not agglomerated, excluding jet"
SVK,2020,2702,42118746.764,Slovakia,"Lignite; whether or not agglomerated, excluding jet"
SVN,2020,2702,24402741.01,Slovenia,"Lignite; whether or not agglomerated, excluding jet"
SWE,2020,2702,4017.238,Sweden,"Lignite; whether or not agglomerated, excluding jet"
THA,2020,2702,4288899.095,Thailand,"Lignite; whether or not agglomerated, excluding jet"
TJK,2020,2702,5376.0,Tajikistan,"Lignite; whether or not agglomerated, excluding jet"
TTO,2020,2702,63515.599,Trinidad and Tobago,"Lignite; whether or not agglomerated, excluding jet"
TUR,2020,2702,24.0,Türkiye,"Lignite; whether or not agglomerated, excluding jet"
UKR,2020,2702,86394.33,Ukraine,"Lignite; whether or not agglomerated, excluding jet"
USA,2020,2702,12052443.0,USA,"Lignite; whether or not agglomerated, excluding jet"
UZB,2020,2702,77000250.99,Uzbekistan,"Lignite; whether or not agglomerated, excluding jet"
VNM,2020,2702,230218.985,Viet Nam,"Lignite; whether or not agglomerated, excluding jet"
ZAF,2020,2702,128309.629,South Africa,"Lignite; whether or not agglomerated, excluding jet"
