period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2001,ABW,Aruba,29,Organic chemicals,3330.0
2002,ABW,Aruba,29,Organic chemicals,19514.0
2003,ABW,Aruba,29,Organic chemicals,121084.0
2004,ABW,Aruba,29,Organic chemicals,188425.0
2005,ABW,Aruba,29,Organic chemicals,107725.0
2006,ABW,Aruba,29,Organic chemicals,10022.0
2004,AGO,Angola,29,Organic chemicals,20357.138
2005,AGO,Angola,29,Organic chemicals,305758.045
2006,AGO,Angola,29,Organic chemicals,32773.754
2004,AIA,Anguilla,29,Organic chemicals,303.0
2001,ALB,Albania,29,Organic chemicals,56593.0
2002,ALB,Albania,29,Organic chemicals,6093.0
2003,ALB,Albania,29,Organic chemicals,51361.0
2004,ALB,Albania,29,Organic chemicals,7185.0
2005,ALB,Albania,29,Organic chemicals,8068.0
2006,ALB,Albania,29,Organic chemicals,23465.0
2001,AND,Andorra,29,Organic chemicals,1903.0
2002,AND,Andorra,29,Organic chemicals,13918.0
2003,AND,Andorra,29,Organic chemicals,288.0
2004,AND,Andorra,29,Organic chemicals,740.0
2006,AND,Andorra,29,Organic chemicals,604.335
2005,ANT,Netherlands Antilles (...2010),29,Organic chemicals,12384.0
2006,ANT,Netherlands Antilles (...2010),29,Organic chemicals,30266.0
2001,ARE,United Arab Emirates,29,Organic chemicals,13019744.0
2002,ARE,United Arab Emirates,29,Organic chemicals,26745128.0
2003,ARE,United Arab Emirates,29,Organic chemicals,37458826.0
2004,ARE,United Arab Emirates,29,Organic chemicals,54542512.0
2005,ARE,United Arab Emirates,29,Organic chemicals,69988807.0
2006,ARE,United Arab Emirates,29,Organic chemicals,85035647.0
2001,ARG,Argentina,29,Organic chemicals,275528998.0
2002,ARG,Argentina,29,Organic chemicals,289869034.0
2003,ARG,Argentina,29,Organic chemicals,413132746.0
2004,ARG,Argentina,29,Organic chemicals,499521061.0
2005,ARG,Argentina,29,Organic chemicals,596455705.0
2006,ARG,Argentina,29,Organic chemicals,649417119.0
2001,ARM,Armenia,29,Organic chemicals,367893.0
2002,ARM,Armenia,29,Organic chemicals,389745.0
2003,ARM,Armenia,29,Organic chemicals,263244.0
2004,ARM,Armenia,29,Organic chemicals,363125.0
2005,ARM,Armenia,29,Organic chemicals,441330.0
2006,ARM,Armenia,29,Organic chemicals,644171.0
2005,ATG,Antigua and Barbuda,29,Organic chemicals,112426.0
2001,AUS,Australia,29,Organic chemicals,206280834.0
2002,AUS,Australia,29,Organic chemicals,108848588.0
2003,AUS,Australia,29,Organic chemicals,117939301.0
2004,AUS,Australia,29,Organic chemicals,119602836.0
2005,AUS,Australia,29,Organic chemicals,130641622.0
2006,AUS,Australia,29,Organic chemicals,130142613.0
2001,AUT,Austria,29,Organic chemicals,732060322.0
2002,AUT,Austria,29,Organic chemicals,819721777.0
2003,AUT,Austria,29,Organic chemicals,1201583273.0
2004,AUT,Austria,29,Organic chemicals,1203338117.0
2005,AUT,Austria,29,Organic chemicals,1162828751.0
2006,AUT,Austria,29,Organic chemicals,1367016770.0
2001,AZE,Azerbaijan,29,Organic chemicals,6769474.0
2002,AZE,Azerbaijan,29,Organic chemicals,11252562.0
2003,AZE,Azerbaijan,29,Organic chemicals,12242836.0
2004,AZE,Azerbaijan,29,Organic chemicals,20957423.0
2005,AZE,Azerbaijan,29,Organic chemicals,25106786.0
2006,AZE,Azerbaijan,29,Organic chemicals,28283357.0
2004,BDI,Burundi,29,Organic chemicals,181.0
2006,BDI,Burundi,29,Organic chemicals,95556.0
2001,BEL,Belgium,29,Organic chemicals,10156370994.0
2002,BEL,Belgium,29,Organic chemicals,14149650476.0
2003,BEL,Belgium,29,Organic chemicals,17926432497.0
2004,BEL,Belgium,29,Organic chemicals,22659085988.0
2005,BEL,Belgium,29,Organic chemicals,26052975789.0
2006,BEL,Belgium,29,Organic chemicals,26545141055.0
2001,BEN,Benin,29,Organic chemicals,13797.0
2002,BEN,Benin,29,Organic chemicals,17253.0
2003,BEN,Benin,29,Organic chemicals,19956.0
2004,BEN,Benin,29,Organic chemicals,24678.0
2005,BEN,Benin,29,Organic chemicals,20000.0
2006,BEN,Benin,29,Organic chemicals,7586.0
2001,BFA,Burkina Faso,29,Organic chemicals,82630.0
2002,BFA,Burkina Faso,29,Organic chemicals,167821.0
2003,BFA,Burkina Faso,29,Organic chemicals,84313.0
2004,BFA,Burkina Faso,29,Organic chemicals,45694.0
2005,BFA,Burkina Faso,29,Organic chemicals,44607.058
2006,BFA,Burkina Faso,29,Organic chemicals,3632.831
2001,BGD,Bangladesh,29,Organic chemicals,82274.0
2002,BGD,Bangladesh,29,Organic chemicals,90543.0
2003,BGD,Bangladesh,29,Organic chemicals,238954.0
2004,BGD,Bangladesh,29,Organic chemicals,412546.0
2005,BGD,Bangladesh,29,Organic chemicals,1122543.0
2006,BGD,Bangladesh,29,Organic chemicals,711407.0
2001,BGR,Bulgaria,29,Organic chemicals,91384192.0
