reporterISO,period,cmdCode,primaryValue,reporterDesc,cmdDesc
AGO,2004,2701,19215.371,Angola,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AGO,2005,2701,8759.908,Angola,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AGO,2006,2701,2892.61,Angola,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AIA,2001,2701,3374.0,Anguilla,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AIA,2002,2701,3011.0,Anguilla,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AIA,2003,2701,509.0,Anguilla,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AIA,2004,2701,1007.0,Anguilla,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AIA,2006,2701,4873.0,Anguilla,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ALB,2001,2701,234557.0,Albania,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ALB,2002,2701,86009.0,Albania,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ALB,2003,2701,577607.0,Albania,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ALB,2004,2701,877466.0,Albania,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ALB,2005,2701,546597.0,Albania,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ALB,2006,2701,4420194.0,Albania,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AND,2001,2701,130.0,Andorra,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AND,2002,2701,312.0,Andorra,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AND,2003,2701,950.0,Andorra,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AND,2004,2701,563.0,Andorra,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
AND,2006,2701,238.707,Andorra,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARE,2001,2701,5214715.0,United Arab Emirates,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARE,2002,2701,9534069.0,United Arab Emirates,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARE,2003,2701,3021438.0,United Arab Emirates,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARE,2004,2701,12384093.0,United Arab Emirates,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARE,2005,2701,25117721.0,United Arab Emirates,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARE,2006,2701,31965909.0,United Arab Emirates,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARG,2001,2701,40238399.0,Argentina,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARG,2002,2701,48215544.0,Argentina,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARG,2003,2701,50901637.0,Argentina,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
ARG,2004,2701,109809055.0,Argentina,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
