period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2002,ABW,Aruba,80,Tin; articles thereof,503.0
2001,AIA,Anguilla,80,Tin; articles thereof,21.0
2005,ALB,Albania,80,Tin; articles thereof,10760.0
2001,AND,Andorra,80,Tin; articles thereof,7.0
2002,AND,Andorra,80,Tin; articles thereof,11955.0
2003,AND,Andorra,80,Tin; articles thereof,14719.0
2004,AND,Andorra,80,Tin; articles thereof,4044.0
2005,ANT,Netherlands Antilles (...2010),80,Tin; articles thereof,250.0
2001,ARE,United Arab Emirates,80,Tin; articles thereof,4962255.0
2002,ARE,United Arab Emirates,80,Tin; articles thereof,1383986.0
2003,ARE,United Arab Emirates,80,Tin; articles thereof,7647749.0
2004,ARE,United Arab Emirates,80,Tin; articles thereof,4212701.0
2005,ARE,United Arab Emirates,80,Tin; articles thereof,4415070.0
2006,ARE,United Arab Emirates,80,Tin; articles thereof,2079722.0
2001,ARG,Argentina,80,Tin; articles thereof,6841.0
2002,ARG,Argentina,80,Tin; articles thereof,11797.0
2003,ARG,Argentina,80,Tin; articles thereof,22904.0
2004,ARG,Argentina,80,Tin; articles thereof,6246.0
2005,ARG,Argentina,80,Tin; articles thereof,30637.0
2006,ARG,Argentina,80,Tin; articles thereof,9981.0
2001,AUS,Australia,80,Tin; articles thereof,10645940.0
2002,AUS,Australia,80,Tin; articles thereof,11818916.0
2003,AUS,Australia,80,Tin; articles thereof,18242198.0
2004,AUS,Australia,80,Tin; articles thereof,21024939.0
2005,AUS,Australia,80,Tin; articles thereof,25257701.0
2006,AUS,Australia,80,Tin; articles thereof,21066397.0
2001,AUT,Austria,80,Tin; articles thereof,1572949.0
2002,AUT,Austria,80,Tin; articles thereof,2645703.0
2003,AUT,Austria,80,Tin; articles thereof,2814250.0
2004,AUT,Austria,80,Tin; articles thereof,2956300.0
2005,AUT,Austria,80,Tin; articles thereof,3243519.0
2006,AUT,Austria,80,Tin; articles thereof,4878511.0
2001,AZE,Azerbaijan,80,Tin; articles thereof,480.0
2001,BEL,Belgium,80,Tin; articles thereof,46157903.0
2002,BEL,Belgium,80,Tin; articles thereof,45224216.0
2003,BEL,Belgium,80,Tin; articles thereof,44999286.0
2004,BEL,Belgium,80,Tin; articles thereof,85305892.0
2005,BEL,Belgium,80,Tin; articles thereof,70037119.0
2006,BEL,Belgium,80,Tin; articles thereof,83938795.0
2002,BEN,Benin,80,Tin; articles thereof,2886.0
2001,BGD,Bangladesh,80,Tin; articles thereof,467.0
2002,BGD,Bangladesh,80,Tin; articles thereof,44472.0
2003,BGD,Bangladesh,80,Tin; articles thereof,43938.0
2004,BGD,Bangladesh,80,Tin; articles thereof,73592.0
2005,BGD,Bangladesh,80,Tin; articles thereof,54581.0
2006,BGD,Bangladesh,80,Tin; articles thereof,57672.0
2001,BGR,Bulgaria,80,Tin; articles thereof,10700.0
2002,BGR,Bulgaria,80,Tin; articles thereof,2056.0
2003,BGR,Bulgaria,80,Tin; articles thereof,26295.0
2004,BGR,Bulgaria,80,Tin; articles thereof,4764.0
2005,BGR,Bulgaria,80,Tin; articles thereof,13035.0
2006,BGR,Bulgaria,80,Tin; articles thereof,84080.0
2004,BHR,Bahrain,80,Tin; articles thereof,21.0
2001,BHS,Bahamas,80,Tin; articles thereof,17599.0
2004,BHS,Bahamas,80,Tin; articles thereof,248.0
2003,BIH,Bosnia Herzegovina,80,Tin; articles thereof,5416.0
2004,BIH,Bosnia Herzegovina,80,Tin; articles thereof,34589.0
2005,BIH,Bosnia Herzegovina,80,Tin; articles thereof,27430.0
2006,BIH,Bosnia Herzegovina,80,Tin; articles thereof,65718.0
2001,BLR,Belarus,80,Tin; articles thereof,7200.0
2002,BLR,Belarus,80,Tin; articles thereof,9800.0
2003,BLR,Belarus,80,Tin; articles thereof,31600.0
2004,BLR,Belarus,80,Tin; articles thereof,325900.0
2005,BLR,Belarus,80,Tin; articles thereof,138500.0
2006,BLR,Belarus,80,Tin; articles thereof,10200.0
2002,BLZ,Belize,80,Tin; articles thereof,17049498.0
2001,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,51028860.33
2002,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,48982016.57
2003,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,59483304.71
2004,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,116925724.59
2005,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,104781114.94
2006,BOL,Bolivia (Plurinational State of),80,Tin; articles thereof,121005077.35
2001,BRA,Brazil,80,Tin; articles thereof,25958092.0
2002,BRA,Brazil,80,Tin; articles thereof,22375620.0
2003,BRA,Brazil,80,Tin; articles thereof,17445919.0
2004,BRA,Brazil,80,Tin; articles thereof,46702191.0
2005,BRA,Brazil,80,Tin; articles thereof,42426370.0
2006,BRA,Brazil,80,Tin; articles thereof,41550921.0
2005,BRB,Barbados,80,Tin; articles thereof,6029.0
2006,BRB,Barbados,80,Tin; articles thereof,34457.0
2002,BRN,Brunei Darussalam,80,Tin; articles thereof,64.0
2003,BRN,Brunei Darussalam,80,Tin; articles thereof,56.0
2004,BRN,Brunei Darussalam,80,Tin; articles thereof,2868.0
2006,BRN,Brunei Darussalam,80,Tin; articles thereof,6670.951
2005,BTN,Bhutan,80,Tin; articles thereof,33620.0
2006,BTN,Bhutan,80,Tin; articles thereof,46463.0
2001,BWA,Botswana,80,Tin; articles thereof,748.0
2002,BWA,Botswana,80,Tin; articles thereof,3186.0
2003,BWA,Botswana,80,Tin; articles thereof,90108.0
2004,BWA,Botswana,80,Tin; articles thereof,33393.0
2005,BWA,Botswana,80,Tin; articles thereof,390.0
2006,BWA,Botswana,80,Tin; articles thereof,355.0
2001,CAN,Canada,80,Tin; articles thereof,6626184.0
