period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2019,ABW,Aruba,78,Lead and articles thereof,82482.679
2021,ABW,Aruba,78,Lead and articles thereof,97765.362
2019,AFG,Afghanistan,78,Lead and articles thereof,7020209.7
2019,AGO,Angola,78,Lead and articles thereof,35278.635
2020,AGO,Angola,78,Lead and articles thereof,337694.086
2021,AGO,Angola,78,Lead and articles thereof,867136.081
2022,AGO,Angola,78,Lead and articles thereof,931013.08
2023,AGO,Angola,78,Lead and articles thereof,797637.383
2019,ALB,Albania,78,Lead and articles thereof,5002128.348
2020,ALB,Albania,78,Lead and articles thereof,4707189.135
2021,ALB,Albania,78,Lead and articles thereof,8682460.678
2022,ALB,Albania,78,Lead and articles thereof,9363146.659
2023,ALB,Albania,78,Lead and articles thereof,8184949.219
2021,AND,Andorra,78,Lead and articles thereof,97159.942
2022,AND,Andorra,78,Lead and articles thereof,168159.309
2023,AND,Andorra,78,Lead and articles thereof,203720.925
2019,ARE,United Arab Emirates,78,Lead and articles thereof,59022489.042
2020,ARE,United Arab Emirates,78,Lead and articles thereof,47010622.268
2021,ARE,United Arab Emirates,78,Lead and articles thereof,77995669.939
2022,ARE,United Arab Emirates,78,Lead and articles thereof,97633039.493
2023,ARE,United Arab Emirates,78,Lead and articles thereof,155815264.354
2019,ARG,Argentina,78,Lead and articles thereof,44643266.53
2020,ARG,Argentina,78,Lead and articles thereof,6156261.2
2021,ARG,Argentina,78,Lead and articles thereof,577299.58
2022,ARG,Argentina,78,Lead and articles thereof,2267043.51
2023,ARG,Argentina,78,Lead and articles thereof,1586566.61
2019,ARM,Armenia,78,Lead and articles thereof,83977.2
2021,ARM,Armenia,78,Lead and articles thereof,1906066.42
2022,ARM,Armenia,78,Lead and articles thereof,1759798.34
2023,ARM,Armenia,78,Lead and articles thereof,4997236.79
2019,ATG,Antigua and Barbuda,78,Lead and articles thereof,55.344
2019,AUS,Australia,78,Lead and articles thereof,570597448.163
2020,AUS,Australia,78,Lead and articles thereof,678330724.447
2021,AUS,Australia,78,Lead and articles thereof,835206763.067
2022,AUS,Australia,78,Lead and articles thereof,773168397.076
2023,AUS,Australia,78,Lead and articles thereof,757601409.352
2019,AUT,Austria,78,Lead and articles thereof,52899459.915
2020,AUT,Austria,78,Lead and articles thereof,44522423.613
2021,AUT,Austria,78,Lead and articles thereof,56628184.389
2022,AUT,Austria,78,Lead and articles thereof,53381801.413
2023,AUT,Austria,78,Lead and articles thereof,58695208.405
2019,AZE,Azerbaijan,78,Lead and articles thereof,12124568.48
2020,AZE,Azerbaijan,78,Lead and articles thereof,10224906.49
2021,AZE,Azerbaijan,78,Lead and articles thereof,12323243.92
2022,AZE,Azerbaijan,78,Lead and articles thereof,11557112.76
2023,AZE,Azerbaijan,78,Lead and articles thereof,14599566.88
2019,BDI,Burundi,78,Lead and articles thereof,12236.061
2019,BEL,Belgium,78,Lead and articles thereof,359653290.845
2020,BEL,Belgium,78,Lead and articles thereof,220415125.163
2021,BEL,Belgium,78,Lead and articles thereof,337524262.517
2022,BEL,Belgium,78,Lead and articles thereof,343597996.293
2023,BEL,Belgium,78,Lead and articles thereof,332132369.943
2022,BEN,Benin,78,Lead and articles thereof,144.482
2023,BEN,Benin,78,Lead and articles thereof,6400.241
2022,BFA,Burkina Faso,78,Lead and articles thereof,79.24
2023,BFA,Burkina Faso,78,Lead and articles thereof,1241332.268
2019,BGR,Bulgaria,78,Lead and articles thereof,183069187.902
2020,BGR,Bulgaria,78,Lead and articles thereof,175442105.214
2021,BGR,Bulgaria,78,Lead and articles thereof,204812512.908
2022,BGR,Bulgaria,78,Lead and articles thereof,235570406.555
2023,BGR,Bulgaria,78,Lead and articles thereof,211117131.938
2019,BHR,Bahrain,78,Lead and articles thereof,11170.21
2020,BHR,Bahrain,78,Lead and articles thereof,218578.57
2021,BHR,Bahrain,78,Lead and articles thereof,143251.542
2022,BHR,Bahrain,78,Lead and articles thereof,132093.351
2023,BHR,Bahrain,78,Lead and articles thereof,638256.184
2019,BHS,Bahamas,78,Lead and articles thereof,16999.94
2021,BHS,Bahamas,78,Lead and articles thereof,4500.0
2022,BHS,Bahamas,78,Lead and articles thereof,1100.0
2023,BHS,Bahamas,78,Lead and articles thereof,3300.0
2019,BIH,Bosnia Herzegovina,78,Lead and articles thereof,1246677.13
2020,BIH,Bosnia Herzegovina,78,Lead and articles thereof,1040582.48
2021,BIH,Bosnia Herzegovina,78,Lead and articles thereof,1358692.97
2022,BIH,Bosnia Herzegovina,78,Lead and articles thereof,1021942.84
2023,BIH,Bosnia Herzegovina,78,Lead and articles thereof,1549734.032
2019,BLR,Belarus,78,Lead and articles thereof,14637300.0
2020,BLR,Belarus,78,Lead and articles thereof,14496000.0
2021,BLR,Belarus,78,Lead and articles thereof,7866700.0
2019,BLZ,Belize,78,Lead and articles thereof,20.155
2022,BMU,Bermuda,78,Lead and articles thereof,500.0
2019,BOL,Bolivia (Plurinational State of),78,Lead and articles thereof,1358402.69
2020,BOL,Bolivia (Plurinational State of),78,Lead and articles thereof,694849.57
2021,BOL,Bolivia (Plurinational State of),78,Lead and articles thereof,1295768.33
2022,BOL,Bolivia (Plurinational State of),78,Lead and articles thereof,549483.64
2023,BOL,Bolivia (Plurinational State of),78,Lead and articles thereof,476916.29
2019,BRA,Brazil,78,Lead and articles thereof,20492761.0
2020,BRA,Brazil,78,Lead and articles thereof,30739476.0
2021,BRA,Brazil,78,Lead and articles thereof,9516356.0
2022,BRA,Brazil,78,Lead and articles thereof,15543111.0
2023,BRA,Brazil,78,Lead and articles thereof,13788413.0
2019,BRB,Barbados,78,Lead and articles thereof,2000.0
2023,BRB,Barbados,78,Lead and articles thereof,600.0
2020,BRN,Brunei Darussalam,78,Lead and articles thereof,17.16
2021,BRN,Brunei Darussalam,78,Lead and articles thereof,1058.47
2022,BRN,Brunei Darussalam,78,Lead and articles thereof,4858.602
2023,BRN,Brunei Darussalam,78,Lead and articles thereof,1658.04
2023,BTN,Bhutan,78,Lead and articles thereof,9.407
2019,BWA,Botswana,78,Lead and articles thereof,1158042.186
2020,BWA,Botswana,78,Lead and articles thereof,640623.921
2021,BWA,Botswana,78,Lead and articles thereof,513509.054
2022,BWA,Botswana,78,Lead and articles thereof,5001891.825
2023,BWA,Botswana,78,Lead and articles thereof,3353826.389
2023,CAF,Central African Rep.,78,Lead and articles thereof,27283.233
2019,CAN,Canada,78,Lead and articles thereof,553510291.265
2020,CAN,Canada,78,Lead and articles thereof,370261835.529
2021,CAN,Canada,78,Lead and articles thereof,476759200.757
2022,CAN,Canada,78,Lead and articles thereof,388462882.04
2023,CAN,Canada,78,Lead and articles thereof,400709742.663
2019,CHE,Switzerland,78,Lead and articles thereof,6398612.209
2020,CHE,Switzerland,78,Lead and articles thereof,6736456.605
2021,CHE,Switzerland,78,Lead and articles thereof,9172272.802
2022,CHE,Switzerland,78,Lead and articles thereof,7632237.868
2023,CHE,Switzerland,78,Lead and articles thereof,6924087.996
2019,CHL,Chile,78,Lead and articles thereof,32081548.024
2020,CHL,Chile,78,Lead and articles thereof,23203449.827
2021,CHL,Chile,78,Lead and articles thereof,30220689.612
2022,CHL,Chile,78,Lead and articles thereof,29268005.591
2023,CHL,Chile,78,Lead and articles thereof,28252489.848
2019,CHN,China,78,Lead and articles thereof,63921420.0
2020,CHN,China,78,Lead and articles thereof,42163340.0
2021,CHN,China,78,Lead and articles thereof,271436207.0
2022,CHN,China,78,Lead and articles thereof,313445771.0
2023,CHN,China,78,Lead and articles thereof,471892638.0
2019,CIV,Côte d'Ivoire,78,Lead and articles thereof,883527.361
2020,CIV,Côte d'Ivoire,78,Lead and articles thereof,177514.99
2021,CIV,Côte d'Ivoire,78,Lead and articles thereof,1014326.504
2022,CIV,Côte d'Ivoire,78,Lead and articles thereof,1565353.615
2023,CIV,Côte d'Ivoire,78,Lead and articles thereof,4051601.415
2019,CMR,Cameroon,78,Lead and articles thereof,4151172.64
2020,CMR,Cameroon,78,Lead and articles thereof,3291373.4
2021,CMR,Cameroon,78,Lead and articles thereof,4212585.34
2022,CMR,Cameroon,78,Lead and articles thereof,3807962.262
2023,CMR,Cameroon,78,Lead and articles thereof,3975732.352
2019,COD,Dem. Rep. of the Congo,78,Lead and articles thereof,900347.088
2020,COD,Dem. Rep. of the Congo,78,Lead and articles thereof,461405.94
2021,COD,Dem. Rep. of the Congo,78,Lead and articles thereof,1494433.679
2022,COD,Dem. Rep. of the Congo,78,Lead and articles thereof,1013678.292
2023,COD,Dem. Rep. of the Congo,78,Lead and articles thereof,766731.297
2019,COG,Congo,78,Lead and articles thereof,159908.925
2020,COG,Congo,78,Lead and articles thereof,170982.35
2021,COG,Congo,78,Lead and articles thereof,299081.3
2022,COG,Congo,78,Lead and articles thereof,283107.887
2023,COG,Congo,78,Lead and articles thereof,504909.001
2019,COL,Colombia,78,Lead and articles thereof,5558112.08
2020,COL,Colombia,78,Lead and articles thereof,6812745.99
2021,COL,Colombia,78,Lead and articles thereof,4460160.23
2022,COL,Colombia,78,Lead and articles thereof,2832359.64
2023,COL,Colombia,78,Lead and articles thereof,8785355.49
2019,CPV,Cabo Verde,78,Lead and articles thereof,7753.16
2021,CPV,Cabo Verde,78,Lead and articles thereof,1529.467
2022,CPV,Cabo Verde,78,Lead and articles thereof,11373.146
2023,CPV,Cabo Verde,78,Lead and articles thereof,3529.415
2019,CRI,Costa Rica,78,Lead and articles thereof,14946389.64
2020,CRI,Costa Rica,78,Lead and articles thereof,13082873.28
2021,CRI,Costa Rica,78,Lead and articles thereof,18973723.36
2022,CRI,Costa Rica,78,Lead and articles thereof,17538183.73
2023,CRI,Costa Rica,78,Lead and articles thereof,19005933.8
2019,CUB,Cuba,78,Lead and articles thereof,57152420.75
2020,CUB,Cuba,78,Lead and articles thereof,34684010.9
2021,CUB,Cuba,78,Lead and articles thereof,44748238.92
2022,CUB,Cuba,78,Lead and articles thereof,53019873.3
2019,CUW,Curaçao,78,Lead and articles thereof,144468.256
2020,CUW,Curaçao,78,Lead and articles thereof,126703.861
2020,CYM,Cayman Isds,78,Lead and articles thereof,154027.842
2021,CYM,Cayman Isds,78,Lead and articles thereof,171520.711
2022,CYM,Cayman Isds,78,Lead and articles thereof,105336.439
2023,CYM,Cayman Isds,78,Lead and articles thereof,117953.723
2019,CYP,Cyprus,78,Lead and articles thereof,187196.018
2020,CYP,Cyprus,78,Lead and articles thereof,41844.35
