original_index,product_id,label_extracted,color1_name,color1_weight,color2_name,color2_weight,color3_name,color3_weight
4,325229725,none,crimson,0.6544273407710776,tan,0.1827425504872193,pink,0.0919361672080214
5,325089211,none,pink,0.2801088682240871,silver,0.2581084146064867,black,0.1460648673168519
6,325320440,none,crimson,0.3725745385707525,orange,0.2152153336488405,salmon,0.1703738760056791
8,325322190,none,lavender,0.3744360902255639,lavender,0.2006265664160401,silver,0.1740601503759398
10,325086153,none,gray,0.2424969987995198,dark_green,0.2388955582232893,gray,0.205282112845138
12,314096549,female,salmon,0.4114925736547358,lavender,0.3481860238616995,tan,0.1178475773070367
17,325249430,none,lavender,0.3712916476494751,gray,0.3160657234139662,crimson,0.081926061159288
18,262504562,none,lavender,0.2691460055096418,black,0.1840220385674931,sky_blue,0.1727272727272727
23,252223293,none,pink,0.3347490347490347,lavender,0.2729729729729729,tan,0.2308880308880309
24,325227892,none,gray,0.3288446000538648,lavender,0.3110692162671694,silver,0.1497441422030703
29,314323282,none,sky_blue,0.3583252190847127,sky_blue,0.2924375202856215,sky_blue,0.1658552418046089
6973,100669502,none,lavender,0.5600186828584773,olive,0.1588042970574497,tan,0.105091078935077
6974,113327712,none,teal,0.5368220136790202,silver,0.1851439478288531,salmon,0.126610466041037
6975,110738903,none,brown,0.5947653429602888,brown,0.1681708784596871,gray,0.1522262334536702
6976,110013144,none,lavender,0.5075327241294146,silver,0.183996048407014,silver,0.1422573474932082
6977,110696150,none,lavender,0.4940411700975081,pink,0.218851570964247,silver,0.1705308775731311
6978,110826487,none,lavender,0.2740530303030303,tan,0.2482954545454545,hot_pink,0.2263257575757575
6979,108698965,none,lavender,0.3273557773642361,navy,0.3033327694129589,teal,0.1849094907799018
6980,113980519,none,teal,0.2787782915551229,purple,0.2376490630323679,tan,0.2268191774154295
6981,113692859,none,violet,0.3649821337417049,navy,0.1715160796324655,lavender,0.1641143440530883
6982,111916636,none,lavender,0.5900925421883506,silver,0.1486118671747414,navy,0.1056069678824169
6983,114042831,none,navy,0.2923946557040082,black,0.2854573484069887,purple,0.2004110996916752
6984,110492835,none,lavender,0.2915580182529335,sky_blue,0.2739569752281616,sky_blue,0.1883963494132985
6985,105448784,none,gold,0.4643062420967927,silver,0.2138176801931256,sky_blue,0.121968042303713
6986,113739936,none,pink,0.7407407407407407,tan,0.1040868454661558,cyan,0.0753512132822477
6987,113762079,none,green,0.444925340835317,lime,0.2075308374810647,silver,0.157108850898074
6988,100685617,none,navy,0.3338739573679333,teal,0.2713160333642261,teal,0.1719184430027803
6989,114197850,none,salmon,0.3160362107985774,lavender,0.2204978984804397,tan,0.1859036534109279
6990,110429342,female,khaki,0.3119060927892677,lavender,0.242593627724986,tan,0.208496366685299
6991,100130540,none,silver,0.2620760534429599,teal,0.2538540596094553,teal,0.2302158273381295
6992,106311464,none,khaki,0.3553779069767442,tan,0.2207848837209302,pink,0.2097383720930232
6993,110308778,female,teal,0.3719886632026452,lavender,0.2730278696268304,orange,0.1648559282002834
6994,108580852,none,lavender,0.5955406911928651,lavender,0.3134894091415831,lavender,0.0416945373467112
6995,100683363,male,hot_pink,0.3356070941336971,pink,0.2363574351978171,gold,0.15075034106412
6996,112556134,female,lavender,0.6930740037950665,silver,0.1783681214421252,silver,0.0540796963946869
6997,102294599,female,silver,0.3125773195876288,silver,0.2701030927835051,hot_pink,0.2395876288659793
6998,112703739,none,lavender,0.4271486536333456,pink,0.2644780523791958,silver,0.150129103651789
6999,108685822,none,khaki,0.5643564356435643,lavender,0.2087128712871287,pink,0.1295049504950495
7000,107523661,none,purple,0.3401444154247964,crimson,0.3320018436011676,silver,0.1261330465509295
7001,114091431,none,navy,0.3305713039686,silver,0.2245965983427824,gray,0.2013374036923971
7002,110201428,none,lavender,0.3751752262010959,gray,0.3406397349305467,tan,0.1327896011214477
7003,109256464,none,gray,0.3347121682178559,lavender,0.2170515914052625,gray,0.2022291163966448
7004,114078498,female,black,0.2695321776300166,lime,0.2548088340061743,gray,0.2213251009261458
7005,107417121,none,crimson,0.2990777338603425,royal_blue,0.2727272727272727,navy,0.217391304347826
7006,114141442,none,pink,0.3798449612403101,tan,0.3015873015873015,lavender,0.2021040974529346
7007,100698813,male,crimson,0.3639180171591992,gold,0.2082936129647283,gray,0.1692087702573879
7008,113642755,male,black,0.3555088088351301,brown,0.3271101761767026,gray,0.1717065474625295
7009,112309651,none,silver,0.558986087287974,silver,0.1934438726891557,gray,0.111873451496093
7010,100689280,none,dark_green,0.2733588051406738,lime,0.2278568947551233,gray,0.1934699548454324
7011,110965751,none,navy,0.3570560432140445,orange,0.2779203241053342,brown,0.1863605671843349
7012,114160838,none,teal,0.3611779697012601,orange,0.2661758459578083,tan,0.240690924536316
7013,100754432,female,crimson,0.3806419257773319,crimson,0.3119358074222668,coral,0.141925777331996
